sku_item,orders,customers
724999807913 | BETTER WHEY PROTEIN | 1KG Pack / Vanilla (Exp. Nov23),8,7
0724999807548 | GREEN TEA EXTRACT CAPSULES | 60 Capsules (60 servings),8,8
0724999807822 | LEAN PROTEIN | 1kg Pack (25 serves) / Taro,8,7
CRE-UNF-250G-4BL-V1 | CREATINE MONOHYDRATE | 4 x 250g Pack (200 servings),8,8
724999808705 | LEAN MEAL | 500g Pack (10 servings) / Vanilla,8,7
724999808507 | COLLAGEN GLOW - Fitness Fest Special | 300g Pack,8,8
0724999807777 | Prime Whey Isolate | Matchawhey,8,8
0724999808378 | Vegan MULTI Super Multivitamin Capsules | 90 Capsules,8,7
0724999807822_2 | LEAN PROTEIN | 2 x 1kg Packs (50 servings) *POPULAR* / Taro,7,7
0724999807845_4 | SOY PROTEIN ISOLATE | 4 x 1kg Pack (160 servings) / Unflavoured,7,3
724999808422 | Better Whey Protein | 1KG Pack / Teh Tarik,7,7
724999808880 | BETTER WHEY PROTEIN | 500g Pack (20 servings) / Natural (Unflavoured),7,7
0724999807822_4 | LEAN PROTEIN | 4 x 1kg Packs (100 servings) / Taro,7,6
LEAN-TAR-40G-5PK-V1 | Lean Protein Single Serve | 5 x 40g Sachet / Taro,7,7
0724999807555 | Super Omega 3 Capsules | 60 Capsules,7,7
ELT-VAN-1KG-V1 | BETTER WHEY PROTEIN ELITE | 1kg pack (40 servings) / Vanilla,7,7
724999809184 | Better Whey Protein ELITE | 1KG Pack / Cocoa Dinosaur,7,7
724999807999 | Micronized Creatine Monohydrate | Default,7,7
0724999810487 | CLEAR PROTEIN | 25g Satchet (single serve) / White Grape,7,7
0724999810487_5 | Clear Protein Single Serve | 5 x 25g Sachet (5 servings)  *MOST POPULAR* / White Grape,7,4
0724999810494 | CLEAR PROTEIN | 25g Satchet (single serve) / Peach,7,7
0724999810494 | Clear Protein (25g / single serve) | 25g Sachet / Peach,7,6
ACC-TOTE-V1 | FUEL YOUR JOURNEY TOTE BAG (DELIVERED SEPARATELY) | Default,7,6
724999809009_5 | Collagen Glow Single Serve | 5 x 10g Sachet (5 servings) *Most Popular*,6,5
CRE-UNF-5G-10PK-V1 | 🎁 CREATINE MONOHYDRATE SINGLE SERVE (100% off) | 10 x 5g (10 servings) *Most Popular*,6,6
724999809191 | BETTER WHEY PROTEIN ELITE | 500g Pack / Cocoa Dinosaur,6,6
724999809207 | BETTER WHEY PROTEIN ELITE | 1kg Pack (40 servings) / Vanilla,6,3
724999809214 | BETTER WHEY PROTEIN ELITE | 500g Pack (20 servings) / Vanilla,6,5
07249998080422 | BETTER WHEY PROTEIN | 1kg Pack (40 servings) / Teh Tarik,6,1
724999807951 | BETTER WHEY PROTEIN | 1KG Pack / Mango,6,6
0724999807814 | CLEAR PROTEIN | 500g Pack (20 Servings) / Peach,6,6
724999807548 | Green Tea Extract Capsules | 60 Capsules (60 servings),6,5
0724999810487 | Clear Protein (25g / single serve) | 25g Sachet / White Grape,6,6
0724999809214 | BETTER WHEY PROTEIN ELITE | 500g Pack (20 servings) / Vanilla.,6,6
0724999809214 | BETTER WHEY PROTEIN ELITE | 500g Pack (20 servings) / Vanilla (Expiry Sep 2024),6,4
724999807937 | BETTER WHEY PROTEIN - Fitness Fest Special | 1KG Pack / Cocoa Dinosaur,6,6
0724999808880 | Better Whey Protein | 500g Pack / Natural (Unflavoured),6,6
0724999808705 | LEAN MEAL | 500g Pack (10 servings) / Vanilla,6,6
0724999808507_4 | COLLAGEN GLOW | 4 x 300g packs (120 servings),6,6
0724999808378 | Vegan MULTI Super Multivitamin Capsules | 90 Caps,6,6
0724999807807_4 | CLEAR PROTEIN | 4 x 500g Pack (80 servings) / White Grape,6,6
0724999807913 | BETTER WHEY PROTEIN | 1kg Pack (40 servings) / Vanilla (Expiry Sep 2024),6,6
0724999809160 | LP STAINLESS STEEL THERMAL BOTTLE | Default,5,5
0724999809160 | LP Stainless Steel Thermal Bottle (medium 18oz) | Default,5,5
0724999808378 | MULTIVITAMIN CAPSULES | 90 Capsules (30 servings),5,5
0724999810487 | Clear Protein Single Serve | 1 x 25g (1 serving) / White Grape,5,5
0724999810494 | Clear Protein Single Serve | 1 x 25g (1 serving) / Peach,5,5
0724999808361 | LP CLASSIC SHAKER | Default,5,5
CLEAR-GRA-500G-4BL-V2 | CLEAR PROTEIN | 4 x 500g Pack (80 servings) / White Grape,5,5
724999808613 | PLANT PROTEIN - Fitness Fest Special | Vanilla / 480g,5,5
724999808880 | Better Whey Protein | 500g Pack / Natural (Unflavored),5,5
724999807562 | Pureburn™ Thermogenic Capsules | 90 Tablets (90 servings),4,4
0724999808613 | PLANT PROTEIN (ID) | 480g Pack (16 servings) / Vanilla,4,4
COL-UNF-10G-7PK-V1 | 🎁 Collagen Glow Single Serve (100% off) | 7 x 10g Sachet (7 servings) *Most Popular*,4,4
0724999807876 | Prime Micellar Casein (Clearance) | 1kg Pack (40 servings) / Natural (Unflavoured),4,4
0724999809559 | *FREE GIFT* Lushprotein Logo White Cap (Spend above $200) | Default,4,4
0724999807593 | CLA Capsules | 60 softgels,4,4
ELT-CHO-500G-V1 | BETTER WHEY PROTEIN ELITE | 500g Pack (20 servings) / Cocoa Dinosaur,4,4
724999809207 | Better Whey Protein ELITE | 1KG Pack / Vanilla,4,4
0724999807791 | PRIME WHEY ISOLATE | 1kg Pack (40 servings) / Cocoa Dinosaur,4,3
724999808620 | PLANT PROTEIN - Fitness Fest Special | Natural (Unflavored) / 480g,4,4
0724999808378 | MULTIVITAMIN CAPSULES | 90 capsules,4,4
ELT-VAN-500G-V1 | BETTER WHEY PROTEIN ELITE | 500g Pack (20 servings) / Vanilla,4,4
HS00833-XL | LP Men Essentials Navy Blue Logo Muscle Tee | XL,3,3
0724999810463 | Lean Protein Single Serve | 1 x 40g Sachet / Thai Milk Tea,3,2
0724999810487 | Clear Protein Single Serve | 1x 25g Sachet / White Grape,3,2
724999808705 | Lean Meal | 500g (10 servings) / Vanilla,3,3
724999807593 | CLA Capsules | 60 softgels,3,2
724999808903 | BETTER WHEY PROTEIN - Fitness Fest Special | 500g Pack / Vanilla,3,3
0724999810494 | Clear Protein Single Serve | 1x 25g Sachet / Peach,3,2
LEAN-THA-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack / Thai Milk Tea,3,3
724999808880 | BETTER WHEY PROTEIN | 500g Pack / Natural/Unflavored,3,3
COL-UNF-10G-V1 | Collagen Glow Single Serve | 1 x 10g Sachet,3,3
0724999807791 | Prime Whey Isolate | 1KG Pack / Cocoa Dinosaur,3,3
CLEAR-PEA-25G-5PK-V2 | Clear Protein Single Serve | 5 x 25g Sachets / Peach,3,3
0724999807999 | Creatine Monohydrate (ID) | Default,3,3
MALE-XL | LP Men Essentials Navy Blue Logo Muscle Tee | XL,3,2
724999808880 | BETTER WHEY PROTEIN - Fitness Fest Special | 500g Pack / Natural/Unflavored,3,2
0724999807822 | LEAN PROTEIN | 1kg Pack (40 servings) / Taro,3,3
7249998080422 | BETTER WHEY PROTEIN | 1KG Pack / Teh Tarik,3,3
0724999807821_4 | LEAN PROTEIN | 4 x 1kg Packs (100 servings) / Thai Milk Tea,3,3
0724999809603 | CREATINE MONOHYDRATE SINGLE SERVE | 1 x 5g Sachet (1 servings),3,3
0724999809603 | CREATINE MONOHYDRATE SINGLE SERVE | 1 x 5g (1 servings),3,2
724999807999 | Creatine Monohydrate Powder | Default,3,3
724999807913 | BETTER WHEY PROTEIN | 1kg Pack (40 servings) / Vanilla (Exp. Nov23),3,3
HS00834-M | LP Women Essentials Navy Blue Logo Crop Top | M,2,2
HS00834-S | LP Women Essentials Navy Blue Logo Crop Top | S,2,2
724999808699 | LEAN MEAL - Fitness Fest Special | 500g (10 servings) / Belgian Choc,2,2
724999808699 | Lean Meal | 500g (10 servings) / Belgian Choc,2,2
0724999809207 | Better Whey Protein ELITE | 1KG Pack / Vanilla,2,2
0724999807975 | Better Whey Protein | 1KG Pack / Honeydew,2,2
0724999809597 | LP Squeeze Bottle | lime green,2,2
0724999808941 | BETTER WHEY PROTEIN | 500g (20 serves) / Matchawhey,2,1
0724999809122-4PACK | Collagen Glow | 10g x 4 Sachet,2,2
0724999810470 | LEAN PROTEIN | 40g Sachet (single serve) / Taro,2,2
0724999810470 | Lean Protein Single Serve | 1 x 40g Sachet / Taro,2,2
0724999810548 | Clear Protein Single Serve | 5 x 25g (5 servings) *MOST POPULAR* / Peach,2,2
CLEAR-GRA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack / White Grape,2,2
724999808736 | BETTER WHEY PROTEIN | 1KG Pack / Genmai-Roasted Brown Rice,2,2
0724999807760 | Prime Whey Isolate | 1KG Pack / Natural (Unflavoured),2,2
724999808897 | BETTER WHEY PROTEIN - Fitness Fest Special | 500g Pack / Cocoa Dinosaur,2,2
724999807975 | BETTER WHEY PROTEIN | 1KG Pack / Honeydew,2,2
724999809009 | Collagen Glow (10g / single serve) | 10g (satchet),2,2
724999809214 | BETTER WHEY PROTEIN ELITE | 500g Pack / Vanilla,2,2
ACC-GFB-V1 | LP Gifting Box | Default,2,2
0724999807999_4 | CREATINE MONOHYDRATE | 4 x 250g Pack (200 servings),2,2
0724999807845_2 | SOY PROTEIN ISOLATE | 2 x 1kg Pack (80 servings) *Most Popular* / Unflavoured,2,2
0724999807807 | CLEAR PROTEIN | 500g Pack (20 Servings) / White Grape,2,2
724999808613 | Plant Protein | Vanilla / 480g,2,2
ACC-SWEATER-L-V1 | FUEL YOUR JOURNEY OVERSIZED SWEATER (Delivery 15 Dec onwards separately) | Size L,2,2
FEMALE-XL | LP Women Essentials Navy Blue Logo Crop Top | XL,2,2
ACC-SWEATER-V4 | 🎁 FUEL YOUR JOURNEY OVERSIZED SWEATER (Delivery 15 Dec onwards separately) (100% off) | Size XL,2,2
0724999807913 | BETTER WHEY PROTEIN | 1KG Pack / Vanilla,2,2
0724999808880 | BETTER WHEY PROTEIN (ID) | 500g Pack (20 servings) / Natural (Unflavoured),2,2
ACC-SWEATER-V2 | 🎁 FUEL YOUR JOURNEY OVERSIZED SWEATER (Delivery 15 Dec onwards separately) (100% off) | Size M,2,2
724999808903 | BETTER WHEY PROTEIN | 500g Pack / Vanilla (Exp Nov 2023),1,1
LEAN-TAR-40G-15PK-V1 | [BAG_15PC] Lean Protein Sachet 40g Taro | Default,1,1
0724999808880 | BETTER WHEY PROTEIN | 500g (20 servings) / Unflavoured,1,1
724999808736 | BETTER WHEY PROTEIN | 1KG Pack / Genmai - Roasted Rice Tea,1,1
LP_GIFTBOX | Lushprotein Giftbox | Default,1,1
0724999808606 | PLANT PROTEIN (ID) | 480g Pack (16 servings) / Cocoa Dinosaur,1,1
LEAN-TAR-1KG-V1 | LEAN PROTEIN | 1 x 1kg Pack / Taro,1,1
0724999808620 | Plant Protein | 480g Pack / Natural (Unflavoured & Unsweetened),1,1
0724999809122-16PACK | Collagen Glow | 10g x 16 sachet,1,1
LP_GIFTBOX | Free Gifting Box | Default,1,1
LEAN-THA-40G-15PK-V1 | [BAG_15PC] Lean Protein Sachet 40g Thai Milk Tea | Default,1,1
724999808736 | BETTER WHEY PROTEIN | 1KG Pack / Genmai-Roasted brown rice tea,1,1
724999808606 | PLANT PROTEIN - Fitness Fest Special | Cocoa Dinosaur / 480g,1,1
HS00833-L | LP Men Essentials Navy Blue Logo Muscle Tee | L,1,1
724999808705 | LEAN MEAL - Fitness Fest Special | 500g (10 servings) / Vanilla,1,1
0724999807876 | Prime Micellar Casein | 1KG / Natural (Unflavoured),1,1
724999808378 | Vegan MULTI Super Multivitamin Capsules - Fitness Fest Special | 90 Capsules,1,1
7249998080422 | BETTER WHEY PROTEIN | 1kg Pack (40 servings) / Teh Tarik,1,1
724999809184 | BETTER WHEY PROTEIN ELITE | 1KG Pack / Cocoa Dinosaur,1,1
724999809191 | Better Whey Protein ELITE | 500g Pack / Cocoa Dinosaur,1,1
724999807876 | Prime Micellar Casein - Fitness Fest Special | 1KG / Natural (Unflavoured),1,1
724999809214 | Better Whey Protein ELITE | 500g Pack / Vanilla,1,1
ACC-HAT-V1 | LP LOGO WHITE CAP | Default,1,1
724999807876 | Lushprotein Prime Micellar Casein | 1kg Pack (40 servings) / Natural (Unflavoured),1,1
ACC-SQB-V1 | 🎁 LP Squeeze Bottle (100% off) | lime green,1,1
ACC-SWEATER-M-V1 | FUEL YOUR JOURNEY OVERSIZED SWEATER (Delivery 15 Dec onwards separately) | Size M,1,1
ACC-SWEATER-M-V1 | FUEL YOUR JOURNEY OVERSIZED SWEATER (Delivery 26 Dec onwards separately) | Size M,1,1
ACC-SWEATER-V1 | 🎁 FUEL YOUR JOURNEY OVERSIZED SWEATER (Delivery 15 Dec onwards separately) (100% off) | Size S,1,1
ACC-SWEATER-V3 | 🎁 FUEL YOUR JOURNEY OVERSIZED SWEATER (Delivery 15 Dec onwards separately) (100% off) | Size L,1,1
0724999807913 | BETTER WHEY PROTEIN | 1kg (40 serves) / Vanilla,1,1
724999807777 | Prime Whey Isolate - Fitness Fest Special | Matchawhey / 1kg,1,1
0724999807913 | BETTER WHEY PROTEIN | 1kg Pack (40 servings) / Vanilla (Unsweetened),1,1
0724999810531 | Clear Protein Single Serve | 5 x 25g (5 servings) *MOST POPULAR* / White Grape,1,1
0724999807821_2 | LEAN PROTEIN | 2 x 1kg Packs (50 servings) *POPULAR* / Thai Milk Tea,1,1
CLEAR-GRA-25G-5PK-V2 | Clear Protein Single Serve | 5 x 25g Sachets / White Grape,1,1
0724999810494_5 | Clear Protein Single Serve | 5x25g Sachet / Peach,1,1
0724999807777 | Prime Whey Isolate | 1KG Pack / Matchawhey,1,1
0724999810487_5 | Clear Protein Single Serve | 5x25g Sachet / White Grape,1,1
CLEAR-PEA-500G-V2 | CLEAR PROTEIN | 1 x 500g Pack / Peach,1,1
"724999808507 | Lushprotein Collagen Glow Powder, Unflavoured, 10.6oz (300g), Bovine Source, Promotes the Wellness of Skin, Hair, Nails and Joints | 300g Pack (30 servings)",1,1
COL-UNF-10G-7PK-V1 | Collagen Glow Single Serve | 7 x 10g Sachets,1,1
0724999809603_10 | CREATINE MONOHYDRATE SINGLE SERVE | 10 x 5g (10 servings) *Most Popular*,1,1
724999808910 | BETTER WHEY PROTEIN - Fitness Fest Special | 500g Pack / Teh Tarik,1,1
0724999809207 | BETTER WHEY PROTEIN ELITE | 1KG Pack / Vanilla,1,1
724999808880 | BETTER WHEY PROTEIN | 500g Pack / Natural / Unflavored,1,1
