level,total_orders,orders_with_any_item,analysis_ready_order_pct,avg_distinct_items,median_distinct_items,p90_distinct_items,multi_item_orders,multi_item_order_pct,three_plus_item_orders,three_plus_item_order_pct,unique_items,actionable
category,8955,7347,0.8204355108877722,1.2935892200898327,1.0,2.0,1780,0.242275758813121,336,0.045732952225398124,6,False
handle,8955,7347,0.8204355108877722,1.347897100857493,1.0,2.0,1979,0.2693616442085205,485,0.06601333877773241,24,True
sku_flavor,8955,7564,0.8446677833612507,1.5851401374933898,1.0,3.0,2898,0.38313061872025383,1177,0.15560549973558963,363,True
