antecedent,consequent,co_orders,antecedent_orders,consequent_orders,total_orders,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,level,both_item_customers,both_item_repeat_rate,both_item_avg_ltv,both_item_pct_subscribed,antecedent_item_revenue_sgd,antecedent_item_covered_revenue_sgd,antecedent_item_est_gross_profit_sgd,antecedent_item_margin_coverage_pct,antecedent_item_est_margin_pct,consequent_item_revenue_sgd,consequent_item_covered_revenue_sgd,consequent_item_est_gross_profit_sgd,consequent_item_margin_coverage_pct,consequent_item_est_margin_pct,margin_overlay_available,pair_est_margin_pct,repeat_rate_uplift,subscription_uplift,ltv_ratio,trustworthy,n_repeat_uplift,n_sub_uplift,n_lift,n_scale,n_margin,retention_value_score
Accessories,Clear Protein,341,1068,2130,7347,0.0464135021097046,0.1453654552878726,0.2899142507145774,0.3192883895131086,1.1013200928416944,0.0042699850601376,1.0431521048649677,category,381,0.4566929133858268,310.20278771971687,0.2414698162729658,10934.647272727272,10607.271515151517,8929.311515151516,0.970060693371218,0.8418104035893503,176994.17515151514,159600.91696969696,117771.70696969696,0.901729770672234,0.7379137238419375,True,0.7898620637156439,0.2279820681158756,0.12908196801230154,2.4020261968963235,True,1.0,1.0,0.0,0.0,1.0,0.65
Clear Protein,Accessories,341,2130,1068,7347,0.0464135021097046,0.2899142507145774,0.1453654552878726,0.160093896713615,1.1013200928416944,0.0042699850601376,1.0175358190256183,category,381,0.4566929133858268,310.20278771971687,0.2414698162729658,176994.17515151514,159600.91696969696,117771.70696969696,0.901729770672234,0.7379137238419375,10934.647272727272,10607.271515151517,8929.311515151516,0.970060693371218,0.8418104035893503,True,0.7898620637156439,0.2279820681158756,0.12908196801230154,2.4020261968963235,True,1.0,1.0,0.0,0.0,1.0,0.65
Lean Protein,Accessories,382,1939,1068,7347,0.0519940111610181,0.2639172451340683,0.1453654552878726,0.1970087674058793,1.3552653690365126,0.0136295606637831,1.0643136687198556,category,408,0.409313725490196,250.44243241235887,0.2181372549019608,133979.16727272727,112726.02727272724,83009.31727272728,0.8413698156763638,0.7363811116300238,10934.647272727272,10607.271515151517,8929.311515151516,0.970060693371218,0.8418104035893503,True,0.7890957576096871,0.18060288022024482,0.10574940664129653,1.9392774897060876,True,0.0,0.0,1.0,1.0,0.0,0.35
Accessories,Lean Protein,382,1068,1939,7347,0.0519940111610181,0.1453654552878726,0.2639172451340683,0.3576779026217228,1.3552653690365124,0.0136295606637831,1.1459714026192638,category,408,0.409313725490196,250.44243241235887,0.2181372549019608,10934.647272727272,10607.271515151517,8929.311515151516,0.970060693371218,0.8418104035893503,133979.16727272727,112726.02727272724,83009.31727272728,0.8413698156763638,0.7363811116300238,True,0.7890957576096871,0.18060288022024482,0.10574940664129653,1.9392774897060876,True,0.0,0.0,0.9999999999999991,1.0,0.0,0.34999999999999987
