antecedent,consequent,co_orders,antecedent_orders,consequent_orders,total_orders,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,level,both_item_customers,both_item_repeat_rate,both_item_avg_ltv,both_item_pct_subscribed,antecedent_item_revenue_sgd,antecedent_item_covered_revenue_sgd,antecedent_item_est_gross_profit_sgd,antecedent_item_margin_coverage_pct,antecedent_item_est_margin_pct,consequent_item_revenue_sgd,consequent_item_covered_revenue_sgd,consequent_item_est_gross_profit_sgd,consequent_item_margin_coverage_pct,consequent_item_est_margin_pct,margin_overlay_available,pair_est_margin_pct,repeat_rate_uplift,subscription_uplift,ltv_ratio,trustworthy,n_repeat_uplift,n_sub_uplift,n_lift,n_scale,n_margin,retention_value_score
pureburn-fat-burner-capsules,green-tea-extract-capsules,29,125,73,7347,0.0039471893289778,0.0170137471076629,0.0099360283108751,0.232,23.3493698630137,0.003778140256042,1.2891457964702149,handle,30,0.6,1700.235303030303,0.2,7146.157575757576,6006.836363636363,5127.986363636363,0.8405686972274143,0.8536917027871275,1752.1957575757576,1436.5948484848484,1052.8148484848484,0.819882620006136,0.7328543949570987,True,0.7932730488721131,0.37128915473004875,0.08761215173933576,13.165612626463068,True,1.0,0.6775244299674269,1.0,0.0,0.3034438601794642,0.6997254935098032
green-tea-extract-capsules,pureburn-fat-burner-capsules,29,73,125,7347,0.0039471893289778,0.0099360283108751,0.0170137471076629,0.3972602739726027,23.349369863013695,0.003778140256042,1.6308635559350138,handle,30,0.6,1700.235303030303,0.2,1752.1957575757576,1436.5948484848484,1052.8148484848484,0.819882620006136,0.7328543949570987,7146.157575757576,6006.836363636363,5127.986363636363,0.8405686972274143,0.8536917027871275,True,0.7932730488721131,0.37128915473004875,0.08761215173933576,13.165612626463068,True,1.0,0.6775244299674269,0.9999999999999999,0.0,0.3034438601794642,0.6997254935098031
lushprotein-clear-shaker,lean-protein,277,1068,1582,7347,0.0377024635905811,0.1453654552878726,0.2153259833945828,0.2593632958801498,1.20451462378727,0.0064015039791187,1.0594587227997287,handle,325,0.4584615384615385,291.9459561771562,0.2615384615384615,10934.647272727272,10607.271515151517,8929.311515151516,0.970060693371218,0.8418104035893503,118749.04727272729,97690.80727272724,71388.92727272728,0.8226660298870759,0.7307640223857298,True,0.78628721298754,0.22975069319158728,0.14915061327779724,2.260656133912952,True,0.44833434282253193,1.0,0.0,1.0,0.21381400240170678,0.5558817030869302
lean-protein,lushprotein-clear-shaker,277,1582,1068,7347,0.0377024635905811,0.2153259833945828,0.1453654552878726,0.175094816687737,1.20451462378727,0.0064015039791187,1.0360397315973835,handle,325,0.4584615384615385,291.9459561771562,0.2615384615384615,118749.04727272729,97690.80727272724,71388.92727272728,0.8226660298870759,0.7307640223857298,10934.647272727272,10607.271515151517,8929.311515151516,0.970060693371218,0.8418104035893503,True,0.78628721298754,0.22975069319158728,0.14915061327779724,2.260656133912952,True,0.44833434282253193,1.0,0.0,1.0,0.21381400240170678,0.5558817030869302
lean-protein-peach-oolong-pre-order,lushprotein-clear-shaker,30,85,1068,7347,0.0040832993058391,0.0115693480332108,0.1453654552878726,0.3529411764705882,2.4279576999339065,0.0024015157616075,1.3207988418278334,handle,44,0.5681818181818182,228.12994490358125,0.2045454545454545,7758.48,7758.48,5411.03,1.0,0.6974342912529259,10934.647272727272,10607.271515151517,8929.311515151516,0.970060693371218,0.8418104035893503,True,0.7696223474211381,0.339470972911867,0.09215760628479025,1.7665028350745773,True,0.8759842519685042,0.7013436482084691,0.0552472826275009,0.014727575147214317,0.0,0.45138978044025074
lushprotein-lean-protein-40g-single-serve,lushprotein-clear-shaker,91,322,1068,7347,0.0123860078943786,0.0438274125493398,0.1453654552878726,0.2826086956521739,1.9441255495847585,0.0060150161150544,1.1913087592956926,handle,97,0.4432989690721649,589.4196782255544,0.1649484536082474,7471.64,7276.740000000001,6209.36,0.973914696104202,0.8533161827961421,10934.647272727272,10607.271515151517,8929.311515151516,0.970060693371218,0.8418104035893503,True,0.8475632931927461,0.21458812380221368,0.05256060534758314,4.564116004473912,True,0.3892361392970206,0.4938463346653682,0.03339876995390668,0.5033144316899286,1.0,0.4224093441997189
lushprotein-clear-shaker,lushprotein-lean-protein-40g-single-serve,91,1068,322,7347,0.0123860078943786,0.1453654552878726,0.0438274125493398,0.0852059925093633,1.944125549584758,0.0060150161150544,1.045232674920476,handle,97,0.4432989690721649,589.4196782255544,0.1649484536082474,10934.647272727272,10607.271515151517,8929.311515151516,0.970060693371218,0.8418104035893503,7471.64,7276.740000000001,6209.36,0.973914696104202,0.8533161827961421,True,0.8475632931927461,0.21458812380221368,0.05256060534758314,4.564116004473912,True,0.3892361392970206,0.4938463346653682,0.03339876995390666,0.5033144316899286,1.0,0.4224093441997189
discovery-sampler,lushprotein-clear-shaker,40,189,1068,7347,0.0054443990744521,0.0257247856267864,0.1453654552878726,0.2116402116402116,1.4559181974912312,0.0017049038996314,1.0840666372522958,handle,39,0.4358974358974359,1503.37,0.1538461538461538,5625.08,5625.08,4783.44,1.0,0.8503772390792663,10934.647272727272,10607.271515151517,8929.311515151516,0.970060693371218,0.8418104035893503,True,0.8460938213343083,0.2071865906274847,0.04145830558548955,11.64120461383751,True,0.36038764385221084,0.4356677524429966,0.01135268535233574,0.14030333963317476,0.9811463429922465,0.33846390358108036
clear-protein-25g-single-sachet,lushprotein-clear-shaker,72,292,1068,7347,0.0097999183340138,0.0397441132435007,0.1453654552878726,0.2465753424657534,1.6962444205017702,0.0040224972173596,1.134333122981551,handle,80,0.4125,650.4170000000001,0.075,6727.92,6600.480000000001,5391.93,0.9810580387400566,0.816899680023271,10934.647272727272,10607.271515151517,8929.311515151516,0.970060693371218,0.8418104035893503,True,0.8293550418063107,0.18378915473004878,-0.037387848260664255,5.036443045503338,True,0.26919291338582674,0.02249592833876222,0.022205148392366616,0.39941276527628194,0.7663840077102546,0.22737320134137964
clear-protein-25g-single-sachet,lushprotein-lean-protein-40g-single-serve,101,292,322,7347,0.0137471076629916,0.0397441132435007,0.0438274125493398,0.3458904109589041,7.892102016506423,0.0120052260154611,1.461792646783208,handle,99,0.3434343434343434,549.9493939393939,0.0707070707070707,6727.92,6600.480000000001,5391.93,0.9810580387400566,0.816899680023271,7471.64,7276.740000000001,6209.36,0.973914696104202,0.8533161827961421,True,0.8351079314097065,0.11472349816439223,-0.04168077755359355,4.258481559499268,True,0.0,0.0,0.3019928249913801,0.5496597139247796,0.8401948852463526,0.22686701061162823
