product_category,line_items,orders,revenue_sgd,covered_revenue_sgd,covered_lines,estimated_gross_profit_sgd,estimated_cogs_sgd,revenue_coverage_pct,line_coverage_pct,estimated_margin_pct
Unknown,3357,2189,212473.20757575758,5041.2081818181805,522,2693.028181818182,2348.18,0.02372632408262925,0.1554959785522788,0.5342029300696137
Other,3644,3082,188517.84787878787,121062.87393939393,2421,83933.92393939394,37128.95,0.6421825588484028,0.6643798024149287,0.6933085363677443
Clear Protein,2657,2130,176994.17515151514,159600.91696969696,2536,117771.70696969697,41829.21,0.901729770672234,0.9544599171998495,0.7379137238419375
Lean Protein,2420,1939,133979.16727272727,112726.02727272725,2177,83009.31727272728,29716.71,0.8413698156763638,0.8995867768595042,0.7363811116300238
Collagen Glow,845,839,45716.22939393939,34541.32303030303,639,24289.95303030303,10251.369999999999,0.755559316422587,0.7562130177514793,0.7032143212636501
Soy Protein,448,446,25848.956060606062,22139.638484848485,386,19986.998484848486,2152.64,0.8565002947484368,0.8616071428571429,0.9027698667494872
Accessories,1077,1068,10934.647272727272,10607.271515151515,1015,8929.311515151516,1677.96,0.9700606933712179,0.9424326833797586,0.8418104035893503
