antecedent,consequent,co_orders,antecedent_orders,consequent_orders,total_orders,support,antecedent_support,consequent_support,confidence,lift,leverage,conviction,level,both_item_customers,both_item_repeat_rate,both_item_avg_ltv,both_item_pct_subscribed,antecedent_item_revenue_sgd,antecedent_item_covered_revenue_sgd,antecedent_item_est_gross_profit_sgd,antecedent_item_margin_coverage_pct,antecedent_item_est_margin_pct,consequent_item_revenue_sgd,consequent_item_covered_revenue_sgd,consequent_item_est_gross_profit_sgd,consequent_item_margin_coverage_pct,consequent_item_est_margin_pct,margin_overlay_available
Lean Protein,Accessories,382,1939,1068,7347,0.0519940111610181,0.26391724513406833,0.1453654552878726,0.19700876740587933,1.3552653690365126,0.01362956066378318,1.0643136687198556,category,408,0.40931372549019607,250.44243241235887,0.2181372549019608,133979.16727272727,112726.02727272725,83009.31727272728,0.8413698156763638,0.7363811116300238,10934.647272727272,10607.271515151515,8929.311515151516,0.9700606933712179,0.8418104035893503,True
Accessories,Lean Protein,382,1068,1939,7347,0.0519940111610181,0.1453654552878726,0.26391724513406833,0.35767790262172283,1.3552653690365124,0.01362956066378318,1.1459714026192638,category,408,0.40931372549019607,250.44243241235887,0.2181372549019608,10934.647272727272,10607.271515151515,8929.311515151516,0.9700606933712179,0.8418104035893503,133979.16727272727,112726.02727272725,83009.31727272728,0.8413698156763638,0.7363811116300238,True
Accessories,Clear Protein,341,1068,2130,7347,0.046413502109704644,0.1453654552878726,0.2899142507145774,0.3192883895131086,1.1013200928416944,0.004269985060137663,1.0431521048649677,category,381,0.4566929133858268,310.20278771971687,0.24146981627296588,10934.647272727272,10607.271515151515,8929.311515151516,0.9700606933712179,0.8418104035893503,176994.17515151514,159600.91696969696,117771.70696969697,0.901729770672234,0.7379137238419375,True
Clear Protein,Accessories,341,2130,1068,7347,0.046413502109704644,0.2899142507145774,0.1453654552878726,0.160093896713615,1.1013200928416944,0.004269985060137663,1.0175358190256183,category,381,0.4566929133858268,310.20278771971687,0.24146981627296588,176994.17515151514,159600.91696969696,117771.70696969697,0.901729770672234,0.7379137238419375,10934.647272727272,10607.271515151515,8929.311515151516,0.9700606933712179,0.8418104035893503,True
