year,line_items,orders,revenue_sgd,covered_revenue_sgd,covered_lines,estimated_gross_profit_sgd,estimated_cogs_sgd,revenue_coverage_pct,line_coverage_pct,estimated_margin_pct
2021,13681,6259,838693.8112121213,0.0,0,0.0,0.0,0.0,0.0,
2022,6899,3716,770166.5548484848,64890.57363636364,714,44326.18363636364,20564.39,0.08425524742388948,0.10349325989273808,0.6830912589054993
2025,11988,6714,639744.3356780924,499102.2035370095,10476,368514.66353700944,130587.54,0.780158847374537,0.8738738738738738,0.7383551122905097
2020,4721,2847,449820.2096969697,0.0,0,0.0,0.0,0.0,0.0,
2024,7539,4390,401724.88696969696,346996.8693939394,6513,217744.1393939394,129252.73,0.863767420563402,0.8639076800636689,0.6275103858263872
2026,2609,1656,232522.2,207873.32,2460,163944.76,43928.56,0.893993433745251,0.9428899961671139,0.7886762957362686
2023,3519,2316,208009.23696969697,610.579696969697,13,328.68969696969697,281.89,0.0029353489578861683,0.003694231315714692,0.5383239871895213
2019,7,3,98.12727272727273,0.0,0,0.0,0.0,0.0,0.0,
