n_categories,n_customers,pct_of_pool,avg_revenue,avg_gp,repeat_rate,avg_orders,gp_vs_single_cat
1,2514,0.586013986013986,104.90272883970975,59.14534589330055,0.1654733492442323,1.271678599840891,0.0
2,1216,0.2834498834498835,119.17122034489631,78.88263571570972,0.2993421052631579,1.6685855263157894,19.737289822409174
3,410,0.09557109557109557,210.22584700665186,144.21473170731707,0.551219512195122,2.34390243902439,85.06938581401653
4,117,0.02727272727272727,375.7366692566693,249.37952084952084,0.8205128205128205,3.982905982905983,190.2341749562203
5,31,0.0072261072261072265,397.6959530791789,269.0985826001955,0.8387096774193549,4.129032258064516,209.95323670689498
6,2,0.0004662004662004662,382.155,296.4,1.0,3.5,237.25465410669943
