category,pct_2022,pct_2023,pct_2024,pct_2025,change_pp_yr2022_to_yr2025
Unknown,26.1,12.1,14.2,5.6,-20.5
Soy Protein,0.7,2.3,6.1,4.2,3.5
Collagen Glow,1.9,7.5,14.9,11.9,10.0
Accessories,0.2,5.1,11.4,15.4,15.2
Other,5.8,22.6,32.4,27.0,21.2
Clear Protein,0.0,0.0,19.4,22.8,22.8
Lean Protein,0.0,0.0,9.3,26.6,26.6
