product_category,n_customers_ever,n_orders,total_units,total_revenue,total_profit,pct_customers_ever,pct_revenue,avg_revenue_per_buyer
Other,2046,3082,4683.0,188517.84787878787,75407.13915151516,0.35932560590094836,0.23728928328840704,92.13971059569299
Unknown,1623,2189,4740.0,212473.20757575758,84989.28303030304,0.2850368809272919,0.2674421319304349,130.91386788401576
Clear Protein,1614,2130,3153.0,176994.17515151514,70797.67006060606,0.2834562697576396,0.22278432222995656,109.66181855732042
Lean Protein,1395,1939,2969.0,133979.16727272727,53591.66690909091,0.24499473129610116,0.16864090554526368,96.0424138155751
Accessories,990,1068,1124.0,10934.647272727272,4373.858909090909,0.17386722866174922,0.01376354888172338,11.045098255280072
Collagen Glow,516,839,1198.0,45716.22939393939,18286.491757575757,0.09062170706006323,0.05754347097422442,88.59734378670424
Soy Protein,320,446,587.0,25848.956060606062,10339.582424242424,0.056199508254302775,0.03253633714998983,80.77798768939394
