first_product_cat,customers,repeaters,avg_total_orders,avg_ltv,avg_vtd,median_days_2nd,repeat_rate
Unknown,1128,366,1.7216312056737588,191.03396464646465,76.41358585858586,45.0,0.324468085106383
Collagen Glow,311,95,3.4758842443729905,235.62522264445096,94.25008905778039,54.0,0.3054662379421222
Other,1483,309,1.4672960215778827,99.4820928094158,39.792837123766326,69.0,0.20836142953472692
Clear Protein,1469,289,1.3689584751531654,124.3035020731481,49.72140082925924,48.0,0.19673247106875424
Accessories,300,58,1.44,53.17742828282828,21.270971313131312,28.0,0.19333333333333333
Lean Protein,825,149,1.3175757575757576,96.12677979797981,38.450711919191924,32.0,0.1806060606060606
Soy Protein,178,26,1.2696629213483146,76.49296561116786,30.597186244467142,69.0,0.14606741573033707
