target_segment,n_customers,avg_gp,gp_gap_vs_d1,avg_categories,cat_gap_vs_d1,dollars_per_unit,unit_gap_vs_d1,pct_2plus_cat,pct_subscribed,avg_orders
D5-D7 (moveable middle),1309,44.961357872074444,311.5836765482154,1.3514132925897633,1.110543229149367,45.278234004621126,16.043911615459265,0.29488158899923606,0.1382734912146677,1.161955691367456
D2-D4 (near-D1),1310,101.90955160767984,254.63548281261004,1.8465648854961831,0.6153916362429472,50.082895118955136,11.239250501125255,0.5641221374045802,0.2511450381679389,1.7305343511450382
Single-category only,2514,59.14534589330055,297.39968852698934,1.0,1.4619565217391304,45.56926504532728,15.752880574753114,0.0,0.10461416070007955,1.271678599840891
Repeat non-subscriber,689,159.3237494832212,197.22128493706867,1.9477503628447024,0.514206158894428,43.11643229679653,18.20571332328386,0.5674891146589259,0.0,2.5921625544267055
One-time buyers,3160,47.97621480629076,308.5688196139991,1.4123417721518987,1.0496147495872317,39.74650909197236,21.575636528108035,0.3360759493670886,0.08607594936708861,1.0
