customer_id,crm_tier,profit_decile,freq_decile,is_top_both,is_top_profit,is_top_freq,clean_revenue,true_gross_profit,avg_margin_pct,clean_orders,aov,first_channel,first_product_cat,promo_policy
6327387259135,Profit_D1,D1,D10,False,True,False,1693.12,677.248,0.4000000000000001,1,1693.12,Subscription,Unknown,"NO_BLANKET_PROMO — premium upsell, multi-category bundles"
6327390765311,Profit_D1,D1,D10,False,True,False,972.7,389.08000000000004,0.4,1,972.7,Subscription,Unknown,"NO_BLANKET_PROMO — premium upsell, multi-category bundles"
6327391977727,Standard,D2,D3,False,False,False,211.97,121.418,0.5728074727555786,2,105.985,Subscription,Unknown,STANDARD_ACQUISITION — win-back only if recent
6327396303103,Standard,D5,D3,False,False,False,139.44,55.776,0.4,2,69.72,Subscription,Unknown,STANDARD_ACQUISITION — win-back only if recent
6327398400255,Standard,D5,D10,False,False,False,150.97,60.388000000000005,0.4,1,150.97,Subscription,Unknown,STANDARD_ACQUISITION — win-back only if recent
6327399678207,Standard,D3,D3,False,False,False,109.28999999999999,98.88999999999999,0.9048403330588343,2,54.644999999999996,Subscription,Unknown,STANDARD_ACQUISITION — win-back only if recent
6327399940351,Profit_D1,D1,D10,False,True,False,648.91,259.564,0.4000000000000001,1,648.91,Subscription,Unknown,"NO_BLANKET_PROMO — premium upsell, multi-category bundles"
6327401644287,Standard,D9,D10,False,False,False,24.4,9.76,0.4,1,24.4,Subscription,Unknown,STANDARD_ACQUISITION — win-back only if recent
6327401709823,Profit_D1,D1,D2,False,True,False,363.04,172.096,0.4740414279418246,3,121.01333333333334,Subscription,Unknown,"NO_BLANKET_PROMO — premium upsell, multi-category bundles"
6327404921087,Standard,D2,D3,False,False,False,361.09000000000003,140.722,0.3897144756154975,2,180.54500000000002,Subscription,Unknown,STANDARD_ACQUISITION — win-back only if recent
6327406264575,Standard,D8,D10,False,False,False,30.31,23.323999999999998,0.769515011547344,1,30.31,Subscription,Other,STANDARD_ACQUISITION — win-back only if recent
6327406952703,Standard,D6,D3,False,False,False,104.28999999999999,41.716,0.4,2,52.144999999999996,Subscription,Unknown,STANDARD_ACQUISITION — win-back only if recent
6327501881599,VIP,D1,D1,True,True,True,2176.18,870.472,0.4,4,544.045,Subscription,Unknown,"NO_SITE_WIDE_DISCOUNT — early access, bundles, subscription"
6327503552767,Standard,D3,D10,False,False,False,132.81,97.60000000000001,0.7348844213538138,1,132.81,Subscription,Other,STANDARD_ACQUISITION — win-back only if recent
6327504011519,Standard,D5,D10,False,False,False,74.0,52.61,0.710945945945946,1,74.0,Direct / Organic,Clear Protein,STANDARD_ACQUISITION — win-back only if recent
6327505322239,Standard,D2,D10,False,False,False,160.36,111.75,0.6968695435270641,1,160.36,Subscription,Other,STANDARD_ACQUISITION — win-back only if recent
6327505355007,Standard,D6,D10,False,False,False,41.93,41.51,0.9899833055091819,1,41.93,Subscription,Clear Protein,STANDARD_ACQUISITION — win-back only if recent
6327507452159,Standard,D7,D10,False,False,False,83.11,33.244,0.4,1,83.11,Subscription,Unknown,STANDARD_ACQUISITION — win-back only if recent
6327509713151,Standard,D6,D10,False,False,False,121.25,48.5,0.4,1,121.25,Subscription,Unknown,STANDARD_ACQUISITION — win-back only if recent
6327510335743,Standard,D6,D10,False,False,False,116.43,46.572,0.4,1,116.43,Subscription,Unknown,STANDARD_ACQUISITION — win-back only if recent
