product_category,pack_size,units,revenue,gp,buyers,gp_per_unit,rev_per_unit
Clear Protein,500g,2312.0,169004.19515151516,123562.50515151516,1342,53.44399011743735,73.0987003250498
Lean Protein,1kg,1810.0,125045.56727272728,88490.10727272727,1047,48.889562029131085,69.08594876946259
