decile,2022,2023,2024,2025,trend_yr2022_to_yr2025
D1,1.2,1.62,2.1,2.11,0.9099999999999999
D10,1.0,,1.0,1.84,0.8400000000000001
D2,1.12,1.63,1.87,1.92,0.7999999999999998
D3,1.12,1.46,1.9,1.84,0.72
D4,1.1,1.44,1.68,1.7,0.5999999999999999
D5,1.19,1.48,1.62,1.67,0.48
D6,1.12,1.41,1.55,1.35,0.22999999999999998
D7,1.05,1.28,1.23,1.24,0.18999999999999995
D8,1.01,1.1,1.19,1.4,0.3899999999999999
D9,1.0,1.05,1.16,1.49,0.49
