category,pct_active_all,pct_active_d1,acof_all,acof_d1,acov_all,acov_d1,units_per_order_all,units_per_order_d1,dollars_per_unit_all,dollars_per_unit_d1,margin_pct,profit_per_customer_all,profit_per_customer_d1,d1_index,profit_share_all,profit_share_d1
Unknown,0.3331,0.5688,0.27,0.42,88.97,225.42,2.25,3.15,39.55,71.48,0.4,48.69,187.73,385.6,69578.01,45806.12
Lean Protein,0.2676,0.2984,0.27,0.55,60.42,79.71,1.51,1.48,39.98,53.7,0.4,32.13,88.43,275.2,36885.24,11319.04
Clear Protein,0.3177,0.345,0.25,0.49,78.19,105.31,1.52,1.66,51.58,63.25,0.4,39.1,103.6,265.0,53293.3,15332.8
Other,0.3207,0.5198,0.31,0.63,61.26,78.48,1.61,1.98,38.13,39.67,0.4,37.82,98.12,259.4,52040.32,21880.76
Soy Protein,0.0448,0.0676,0.28,0.48,43.99,54.84,1.36,1.67,32.39,32.9,0.4,24.56,52.19,212.5,4715.52,1513.51
Collagen Glow,0.0958,0.2191,0.34,0.6,49.24,56.55,1.46,1.69,33.61,33.4,0.4,33.4,67.38,201.7,13727.4,6333.72
Accessories,0.2079,0.2424,0.21,0.26,8.26,8.72,1.06,1.08,7.83,8.05,0.4,3.52,4.46,126.7,3139.84,463.84
