decile,2022,2023,2024,2025,change_yr2022_to_yr2025
D1,1.2,1.5,1.9,2.21,1.01
D10,1.0,1.0,1.0,1.59,0.5900000000000001
D2,1.12,1.42,1.78,1.98,0.8599999999999999
D3,1.12,1.3,1.66,1.81,0.69
D4,1.1,1.29,1.54,1.63,0.5299999999999998
D5,1.19,1.31,1.48,1.58,0.3900000000000001
D6,1.12,1.31,1.43,1.39,0.2699999999999998
D7,1.05,1.16,1.19,1.21,0.15999999999999992
D8,1.01,1.05,1.12,1.16,0.1499999999999999
D9,1.0,1.01,1.05,1.21,0.20999999999999996
