acq_year,customers,avg_ltv,median_ltv,repeat_rate,avg_orders,pct_subscribed,avg_gross_profit_ltv
2019,3,36.160606060606064,32.72727272727273,0.0,1.0,0.0,14.464242424242427
2020,1696,618.1365880503145,129.91000000000003,0.5283018867924528,3.2523584905660377,0.04304245283018868,247.2546352201258
2021,3334,251.61378406136956,61.68030303030304,0.3905218956208758,2.1250749850029993,0.030293941211757647,100.64551362454783
2022,1462,275.9735039174232,83.15348484848485,0.36662106703146374,2.0314637482900135,0.047879616963064295,110.3894015669693
2023,873,127.57083897393176,69.8,0.2920962199312715,1.9278350515463918,0.18556701030927836,51.028335589572706
2024,2015,124.50896560446428,64.8,0.30918114143920594,1.7473945409429281,0.14392059553349876,49.803586241785716
2025,3524,103.35014503626542,50.92,0.21906923950056753,1.5919409761634506,0.07746878547105562,41.34005801450617
2026,873,109.58672394043529,80.0,0.0859106529209622,1.1019473081328752,0.14432989690721648,43.83468957617412
