factor,loyal_pct,one_and_done_pct,gap_pp,lift_vs_one_and_done,lift_vs_baseline
2+ unique product handles purchased,0.4355044699872286,0.18978650359403498,0.2457179663931936,2.2947072723295405,2.554811237302686
3+ unique product handles purchased,0.27501064282673476,0.046346958480849694,0.22866368434588508,5.933736578212951,1.6133021107502787
Ever subscribed,0.25372498935717325,0.03003969531166184,0.2236852940455114,8.446323663565042,1.4884335263268826
First order full-price (0% discount),0.7845891868880375,0.5742946035833065,0.21029458330473094,1.366178929755912,4.602656021846384
First order via web (not POS),0.9923371647509579,0.9680291814183027,0.02430798333265516,1.0251107960372026,5.821373405818731
