group,year,n,total_rev,avg_rev,avg_aof,avg_aov
2023-Only (Lost),2023,575,60208.899999999994,104.7111304347826,1.2765217391304349,80.14716310559005
Both (2023 & 2024),2023,161,40926.47,254.20167701863355,2.2422360248447206,114.57999198954946
Both (2023 & 2024) in 2024,2024,161,40391.600000000006,250.8795031055901,2.5093167701863353,101.06258251996452
2024-Only (New),2024,1171,109916.07,93.86513236549958,1.3757472245943638,65.55087760334835
