first_channel,customers,repeaters,avg_ltv,median_ltv,avg_orders,pct_subscribed,repeat_rate,avg_gross_profit_ltv
Affiliate,26,5,94.23346153846154,94.69,1.3461538461538463,0.038461538461538464,0.19230769230769232,37.693384615384616
Direct / Organic,6920,2320,198.0740572535743,63.27272727272728,1.984393063583815,0.038439306358381505,0.3352601156069364,79.22962290142972
Email,48,6,49.70916666666667,8.2,1.375,0.020833333333333332,0.125,19.88366666666667
Marketplace,2126,306,115.23031699877419,52.455,1.5376293508936971,0.0,0.14393226716839136,46.09212679950968
Paid Search,3,1,90.8,73.0,1.3333333333333333,0.0,0.3333333333333333,36.32
Paid Social,382,74,71.27526178010471,29.9,1.4083769633507854,0.060209424083769635,0.193717277486911,28.510104712041887
Subscription,4275,1747,342.6816357965621,97.91,2.270409356725146,0.1880701754385965,0.40865497076023394,137.07265431862484
