first_product_cat,customers,repeaters,avg_total_orders,avg_ltv,median_days_2nd,repeat_rate
Unknown,6908,2808,2.337434858135495,693.341436016213,52.0,0.4064852345107122
Collagen Glow,439,137,1.9088838268792712,230.84350797266515,48.0,0.3120728929384966
Other,2502,629,1.8689048760991207,190.8897042366107,53.0,0.2513988808952838
Lean Protein,1324,307,1.444108761329305,118.06050604229607,36.0,0.23187311178247735
Clear Protein,1550,349,1.4716129032258065,149.09917419354838,44.0,0.22516129032258064
Accessories,696,154,1.3951149425287357,97.29725574712644,20.0,0.22126436781609196
Soy Protein,361,75,1.4542936288088644,138.20927977839335,64.0,0.2077562326869806
