group,ord_up,aov_up,n,total_prof_a,total_prof_b,prof_delta
Profit UP,False,True,2,138.70000000000002,147.40400000000002,8.704000000000008
Profit UP,True,False,29,2973.1999999999994,4869.243999999999,1896.044
Profit UP,True,True,42,3217.8759999999997,5893.048,2675.172
Profit DOWN,False,False,19,3103.8480000000004,1202.016,-1901.832
Profit DOWN,False,True,23,3203.8320000000003,1725.924,-1477.9080000000004
Profit DOWN,True,False,46,3733.1320000000005,2319.004000000001,-1414.1279999999997
