segment,customers,median_days_to_2nd,pct_returned_within_60d,avg_unique_handles,avg_unique_flavor_skus
Loyal (3+ orders),2349,49.0,0.5589612601106854,1.722860791826309,3.6798637718177947
2-order,2110,48.0,0.5540284360189573,1.1445497630331753,2.1516587677725116
One-and-done,9321,,,0.8310267138719022,1.4435146443514644
