acq_year,new_customers,pct_of_base
2019,3,0.0002177068214804064
2020,1696,0.12307692307692308
2021,3334,0.24194484760522497
2022,1462,0.10609579100145138
2023,873,0.06335268505079826
2024,2015,0.14622641509433962
2025,3524,0.255732946298984
2026,873,0.06335268505079826
