cohort,base_revenue,age_plus_-1,age_plus_0,age_plus_1,age_plus_2,age_plus_3,age_plus_4,age_plus_5,age_plus_6,age_plus_-2,age_plus_-3,age_plus_-4,age_plus_-5,age_plus_-6,age_plus_-7
2020,286180.83999999997,,1.0,0.631,0.4453,0.0827,0.0884,0.0387,0.0074,,,,,,
2021,226322.88000000003,,1.0,0.4193,0.0506,0.0414,0.0259,0.005,,,,,,,
2022,162749.46000000002,,1.0,0.1035,0.0644,0.0248,0.0032,,,,,,,,
2023,49197.5,,1.0,0.2013,0.1053,0.0165,,,,,,,,,
2024,95240.36,,1.0,0.3136,0.3263,,,,,,,,,,
2025,279404.6,,1.0,0.1301,,,,,,,,,,,
2026,50130.8,,1.0,,,,,,,,,,,,
