first_channel,customers,repeaters,avg_ltv,avg_orders,avg_lifespan_days,pct_subscribed,pct_discounted,median_days_2nd,repeat_rate
Direct / Organic,6920,2320,582.878264450867,1.984393063583815,120.87991329479769,0.038439306358381505,0.39378612716763006,42.0,0.3352601156069364
Subscription,4275,1747,364.2734456140351,2.270409356725146,172.8540350877193,0.1880701754385965,0.38760233918128656,59.0,0.40865497076023394
Marketplace,2126,306,117.74083725305738,1.5376293508936971,13.84901222953904,0.0,0.7996237064910631,43.0,0.14393226716839136
Affiliate,26,5,94.23346153846154,1.3461538461538463,7.230769230769231,0.038461538461538464,1.0,38.0,0.19230769230769232
Paid Search,3,1,90.8,1.3333333333333333,28.666666666666668,0.0,0.0,86.0,0.3333333333333333
Paid Social,382,74,71.27526178010471,1.4083769633507854,19.369109947643977,0.060209424083769635,0.21204188481675393,18.0,0.193717277486911
Email,48,6,52.58416666666667,1.375,18.041666666666668,0.020833333333333332,0.7708333333333334,29.5,0.125
