vtd_decile,customers,avg_ltv,avg_unique_handles,avg_unique_flavors,pct_repeat,pct_multi_product,pct_3plus_products,cum_pct_customers,cum_pct_ltv
D1,1378,2.545396930113911,1.3773584905660377,2.327285921625544,0.07619738751814223,0.3918722786647315,0.1269956458635704,0.1,0.0011267623831074593
D2,1378,18.242120772309452,0.6647314949201741,1.3381712626995645,0.03773584905660377,0.14368650217706821,0.01451378809869376,0.2,0.009201941240741121
D3,1378,29.27845516119101,0.5370101596516691,1.1567489114658926,0.06821480406386067,0.07329462989840348,0.013062409288824383,0.3,0.02216253749228611
D4,1378,43.73627523419976,0.627721335268505,1.2198838896952104,0.12917271407837447,0.0899854862119013,0.019593613933236574,0.4,0.041523128812291074
D5,1378,59.31398887276246,0.8773584905660378,1.3519593613933236,0.1516690856313498,0.1676342525399129,0.026124818577648767,0.5,0.06777945475627352
D6,1378,78.01576307340459,0.965166908563135,1.6030478955007257,0.24600870827285923,0.25544267053701014,0.07910014513788098,0.6,0.10231443281040449
D7,1378,108.39706337687468,1.1226415094339623,1.8809869375907111,0.34760522496371554,0.32365747460087085,0.12772133526850507,0.7,0.1502981999028366
D8,1378,156.00456102099776,1.2532656023222062,2.0863570391872277,0.5166908563134979,0.3519593613933237,0.1690856313497823,0.8,0.21935621944864708
D9,1378,275.11990338561327,1.4201741654571842,2.7452830188679247,0.7677793904208998,0.3802612481857765,0.23439767779390422,0.9,0.34114263095547426
D10,1378,1488.382599287505,1.465166908563135,3.621915820029028,0.8947750362844702,0.3671988388969521,0.2358490566037736,1.0,1.0
