year,n_active,pct_active,total_revenue,avg_spend_per_active,aof,aov,cohort_size
2020,803,1.0,286181.0,356.39,1.59,224.1,803
2021,234,0.2914,180586.0,771.73,2.231,345.95,803
2022,159,0.198,127432.0,801.46,1.761,455.11,803
2023,87,0.1083,23658.0,271.93,2.195,123.86,803
2024,88,0.1096,25302.0,287.52,2.545,112.95,803
2025,44,0.0548,11061.0,251.4,3.25,77.35,803
2026,17,0.0212,2126.0,125.03,1.353,92.42,803
