Line: Product Handle,Line: Variant Title,Line: SKU,line_items,unique_customers,total_revenue
clear-protein,500g Pack (20 Serv) / Peach,0724999807814,654,532,45811.22727272727
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,LEAN-THA-1KG-V1,336,275,33209.52
clear-protein,500g Pack (20 Serv) / White Grape,0724999807807,425,362,28903.933333333334
clear-protein,1 x 500g Pack (20 servings) / Peach,CLEAR-PEA-500G-V2,273,237,27105.88
clear-protein,1 x 500g Pack (20 servings) / White Grape,CLEAR-GRA-500G-V2,244,207,23701.77
lean-protein,1 x 1kg Pack (25 servings) / Taro,LEAN-TAR-1KG-V1,259,205,20887.739999999998
lean-protein,1kg Pack (25 servings) / Thai Milk Tea,0724999807821,304,255,19307.72818181818
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),CRE-UNF-250G-V1,234,192,11524.66
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,SOY-UNF-1KG-V1,120,99,10465.02
collagen-glow,1 x 300g pack (30 servings),COL-UNF-300G-V1,115,92,10269.25
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807937,152,119,10043.963333333333
clear-protein,1 x 500g Pack (20 servings) / Peach,0724999807814,112,94,9284.11
lean-protein,1 x 1kg Pack (25 servings) / Thai Milk Tea,0724999807821,122,100,8327.43
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,0724999808606,167,123,7805.8
lean-protein-peach-oolong-pre-order,1 x 1kg Pack (25 servings) / Peach Oolong,LEAN-POL-1KG-V1,85,85,7758.48
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),0724999807890,97,81,7346.693939393939
plant-protein,480g Pack (16 servings) / Vanilla,0724999808613,140,90,7150.635757575757
prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807760,86,55,6927.813636363637
collagen-glow,300g Pack (30 servings),0724999808507,143,115,6538.2
collagen-glow,300g Pack,724999808507.0,132,102,6485.016666666667
collagen-glow,300g Pack (30 servings) / Natural (Unflavoured),0724999808507,115,75,6037.539393939394
clear-protein,500g Pack (20 servings) / Peach,0724999807814,86,74,5874.76
soy-protein-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807845,152,118,5812.69303030303
clear-protein,1 x 500g Pack (20 servings) / White Grape,0724999807807,79,64,5776.14
lean-protein,1kg Pack (25 serves) / Thai Milk Tea,0724999807821,108,96,5578.072424242424
lushprotein-clear-shaker,White,ACC-SHK-V2,342,316,5409.79
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,PLT-CHO-480G-V1,71,50,5194.82
lean-protein,1 x 1kg Pack (25 servings) / Taro,0724999807822,82,70,4978.6
clear-protein,500g Pack (20 servings) / White Grape,0724999807807,65,56,4675.6
collagen-glow,300g (30 serves) / Unflavoured,0724999808507,122,79,4654.69393939394
better-whey,1KG Pack / Cocoa Dinosaur,724999807937.0,75,66,4606.783333333334
prime-whey-isolate,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807791,53,39,4349.544545454545
lushprotein-clear-shaker,White,0724999808361,479,451,4226.2
better-whey,1kg (40 serves) / Cocoa Dinosaur,0724999807937,81,46,4131.640303030303
better-whey,1kg Pack (40 servings) / Matchawhey,0724999807784,71,64,4009.188181818182
better-whey,1KG Pack / Matchawhey,724999807784.0,58,51,3982.946060606061
prime-whey-isolate,Natural (Unflavored) / 1kg,724999807760.0,44,33,3716.6451515151516
collagen-glow,300g,0724999808507,76,63,3653.49
lean-protein,1kg Pack (25 serves) / Taro,0724999807708,71,68,3539.7166666666667
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / White Grape,CLEAR-GRA-500G-2BL-V2,24,20,3104.52
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / Peach,CLEAR-PEA-500G-2BL-V2,24,22,3063.98
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Taro,LEAN-TAR-1KG-2BL-V1,28,25,2972.42
plant-protein,480g Pack (16 servings) / Natural (Unflavoured),0724999808620,77,59,2937.5433333333335
discovery-sampler,5 Sachets Variety,BND-SS-MIX6-V1,100,62,2875.91
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,724999807937.0,51,42,2774.44
lean-protein,2 x 1kg Packs (50 servings) *MOST POPULAR* / Thai Milk Tea,LEAN-THA-1KG-2BL-V1,25,20,2749.66
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / Peach,0724999807814_2,22,20,2724.9
better-whey,1KG Pack / Natural (Unflavored),724999807890.0,36,31,2709.868484848485
prime-whey-isolate,Cocoa Dinosaur / 1kg,724999807791.0,27,21,2689.337575757576
lean-protein,1kg Pack (25 servings) / Taro,0724999807822,43,38,2552.99
prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),724999807760.0,34,24,2522.7830303030305
pureburn-fat-burner-capsules,90 Tablets,CAP-PBT-BOTTLE-V1,27,16,2465.88
better-whey,1kg (40 serves) / Unflavoured,0724999807890,43,31,2400.3063636363636
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,0724999807845,40,34,2346.72
better-whey,500g Pack / Cocoa Dinosaur,724999808897.0,44,44,2320.6787878787877
discovery-sampler,6 Sachets Variety,BND-SS-MIX6-V1,70,45,2302.23
plant-protein,480g Pack (16 servings) / Vanilla,PLT-VAN-480G-V1,43,27,2216.12
better-whey,1KG Pack / Cocoa Dinosaur,0724999807937,25,25,2201.7939393939396
clear-protein,4 x 500g Pack (80 servings) / Peach,CLEAR-PEA-500G-4BL-V2,9,9,2196.38
better-whey,1kg (40 servings) / Unflavoured,0724999807890,34,24,2183.7799999999997
better-whey,1kg Pack (40 servings) / Matchawhey,724999807784.0,41,34,2182.2412121212124
clear-protein,2 x 500g Pack (40 servings) *MOST POPULAR* / White Grape,0724999807807_2,17,15,2169.29
lean-protein,1kg Pack (40 servings) / Thai Milk Tea,0724999807821,33,31,2150.9
micronized-creatine-monohydrate,250g (50 servings),0724999807999,79,67,2098.7954545454545
better-whey,1kg (40 servings) / Cocoa Dinosaur,0724999807937,32,25,2067.08
creatine-monohydrate-sachet,10 x 5g (10 servings) *Most Popular*,CRE-UNF-5G-10PK-V1,53,37,2064.54
plant-protein,Cocoa Dinosaur / 480g,724999808606.0,32,28,2053.926363636364
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,724999808606.0,49,35,2027.0436363636363
