customer_id,acq_year,acq_month,first_channel,total_revenue,total_orders,is_repeat,ever_subscribed,first_disc_bin,first_order_pos,unique_handles,unique_flavor_skus,vtd_decile,finals_eligible,profit_proxy
7268175544575,2024,5,Subscription,280.21,3,True,False,6-10%,False,4,4,D9,True,112.084
7269385601279,2024,5,Subscription,225.03,2,True,False,6-10%,False,3,5,D9,True,90.012
7272156496127,2024,5,Subscription,432.13,2,True,False,6-10%,False,3,6,D10,True,172.852
7272645099775,2024,5,Subscription,300.9,1,False,False,11-20%,False,1,3,D9,True,120.36
7276078170367,2024,5,Subscription,360.29999999999995,5,True,False,1-5%,False,4,5,D9,False,144.11999999999998
7278303510783,2024,5,Subscription,401.21,8,True,True,0%,False,1,2,D9,True,160.484
7279393374463,2024,5,Subscription,55.81,1,False,False,11-20%,False,1,1,D5,True,22.324
7279632613631,2024,5,Subscription,87.5,1,False,False,21-30%,False,1,2,D6,True,35.0
7288033837311,2024,8,Subscription,41.93,1,False,False,21-30%,True,1,1,D4,True,16.772000000000002
7288596758783,2024,5,Subscription,64.8,1,False,False,0%,False,1,1,D5,True,25.92
7288600822015,2024,5,Marketplace,50.1,1,False,False,11-20%,False,1,1,D4,True,20.040000000000003
7288602657023,2024,5,Subscription,63.9,1,False,False,0%,False,1,1,D5,True,25.560000000000002
7288823283967,2024,5,Subscription,34.8,1,False,False,0%,False,1,1,D3,True,13.92
7288893505791,2024,5,Marketplace,100.06,2,True,False,11-20%,False,1,1,D7,True,40.024
7288937775359,2024,5,Subscription,93.95,1,False,False,6-10%,False,2,2,D7,True,37.580000000000005
7292403122431,2024,5,Subscription,432.4,4,True,False,0%,False,3,6,D10,True,172.96
7293467492607,2024,5,Subscription,93.95,1,False,False,6-10%,False,2,2,D7,True,37.580000000000005
7293531357439,2021,9,Direct / Organic,170.63333333333333,5,True,False,0%,False,1,3,D8,False,68.25333333333333
7294782996735,2024,5,Subscription,112.95,1,False,False,6-10%,False,2,2,D7,True,45.18000000000001
7295351062783,2024,5,Marketplace,56.0,1,False,False,6-10%,False,1,1,D5,True,22.400000000000002
7295407227135,2024,5,Subscription,568.64,6,True,False,0%,False,2,5,D10,True,227.45600000000002
7295828951295,2024,5,Marketplace,56.7,1,False,False,6-10%,False,1,1,D5,True,22.680000000000003
7297167458559,2024,5,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7297195835647,2024,5,Subscription,50.38,2,True,False,51%+,False,3,3,D4,False,20.152
7297197670655,2024,5,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7297198686463,2024,5,Subscription,0.0,2,True,False,51%+,False,3,4,D1,False,0.0
7297200980223,2024,5,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7297201996031,2024,5,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7297203110143,2024,5,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7297204945151,2024,5,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7297968734463,2024,5,Subscription,0.0,2,True,False,51%+,False,3,4,D1,False,0.0
7299634397439,2024,5,Marketplace,20.83,1,False,False,11-20%,False,1,1,D2,True,8.331999999999999
7300439441663,2024,5,Subscription,78.76,1,False,False,11-20%,False,0,0,D6,False,31.504000000000005
7303136674047,2024,5,Subscription,63.9,1,False,False,0%,False,1,1,D5,True,25.560000000000002
7303850328319,2024,5,Marketplace,66.83,1,False,False,11-20%,False,1,1,D5,True,26.732
7304255078655,2024,5,Subscription,82.6,1,False,True,21-30%,False,3,4,D6,True,33.04
7304430321919,2024,6,Subscription,147.97,3,True,False,11-20%,False,2,3,D8,True,59.188
7304526921983,2024,5,Marketplace,49.35,1,False,False,11-20%,False,1,1,D4,True,19.740000000000002
7304552186111,2024,5,Subscription,219.79000000000002,2,True,False,6-10%,False,2,3,D9,True,87.91600000000001
7304662712575,2024,5,Subscription,276.45,2,True,True,1-5%,False,2,3,D9,False,110.58
7304842477823,2024,5,Subscription,629.18,4,True,False,6-10%,False,3,7,D10,True,251.672
7304859222271,2024,5,Subscription,225.45,3,True,False,51%+,False,4,5,D9,False,90.18
7305996370175,2024,5,Subscription,125.16,1,False,False,21-30%,False,3,3,D7,True,50.064
7306038247679,2024,5,Subscription,63.9,1,False,False,0%,False,1,1,D5,True,25.560000000000002
7306157261055,2024,5,Subscription,101.83,1,False,False,11-20%,False,4,4,D7,True,40.732
7307024793855,2024,5,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7307052122367,2024,5,Subscription,123.9,1,False,False,21-30%,False,1,1,D7,True,49.56
7307119755519,2024,5,Subscription,63.9,1,False,False,0%,False,1,1,D5,True,25.560000000000002
7307144102143,2024,6,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7307232772351,2024,5,Subscription,96.53,1,False,False,21-30%,False,2,3,D7,True,38.612
7307284611327,2024,5,Subscription,307.34,3,True,False,21-30%,False,2,3,D9,True,122.93599999999999
7307541086463,2024,5,Subscription,61.71,1,False,False,1-5%,False,1,1,D5,True,24.684
7307595514111,2024,5,Subscription,269.35,3,True,False,6-10%,False,4,7,D9,True,107.74000000000001
7307883872511,2024,5,Subscription,106.89,1,False,True,31-50%,False,2,3,D7,True,42.756
7308128321791,2024,5,Subscription,167.72,1,False,False,21-30%,False,1,1,D8,True,67.08800000000001
7308139725055,2024,5,Subscription,88.13,1,False,False,21-30%,False,2,2,D6,True,35.252
7308209324287,2024,5,Subscription,165.2,1,False,False,21-30%,False,1,2,D8,True,66.08
7308225970431,2024,5,Subscription,46.83,1,False,False,21-30%,False,1,1,D4,True,18.732
7308278366463,2024,5,Subscription,268.78,3,True,False,21-30%,False,5,5,D9,True,107.512
7308405080319,2024,5,Subscription,167.72,1,False,False,21-30%,False,1,1,D8,True,67.08800000000001
7308582682879,2024,5,Subscription,150.29,2,True,False,21-30%,False,2,3,D8,True,60.116
7308613058815,2024,5,Subscription,163.2,2,True,False,21-30%,False,1,2,D8,True,65.28
7308632424703,2024,5,Subscription,25.83,1,False,False,21-30%,False,1,1,D3,True,10.332
7308786237695,2024,5,Subscription,162.44,2,True,False,21-30%,False,4,5,D8,True,64.976
7309650067711,2024,5,Subscription,163.5,3,True,False,0%,False,1,2,D8,True,65.4
7309858963711,2024,5,Subscription,25.83,1,False,False,21-30%,False,1,1,D3,True,10.332
7309950812415,2024,5,Subscription,183.78,2,True,True,21-30%,False,2,3,D8,True,73.512
7310104690943,2024,5,Marketplace,26.7,1,False,False,11-20%,False,1,1,D3,True,10.68
7310181728511,2024,5,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7310189592831,2024,5,Subscription,26.17,3,True,False,51%+,False,3,5,D3,False,10.468000000000002
7310195523839,2024,5,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7311522038015,2024,5,Subscription,88.13,1,False,False,21-30%,False,2,2,D6,True,35.252
7311808626943,2024,5,Subscription,189.95999999999998,2,True,False,21-30%,False,2,2,D8,True,75.984
7312130572543,2024,5,Subscription,74.13,1,False,False,21-30%,False,2,2,D6,True,29.652
7312284057855,2024,5,Subscription,198.45,2,True,True,31-50%,False,3,5,D9,True,79.38
7312475947263,2024,8,Subscription,83.86,1,False,False,21-30%,True,1,1,D6,True,33.544000000000004
7312493347071,2024,5,Subscription,88.76,1,False,False,21-30%,False,1,1,D6,True,35.504000000000005
7312633561343,2024,5,Subscription,162.29,2,True,False,21-30%,False,1,1,D8,True,64.916
7312641884415,2024,5,Subscription,46.2,1,False,False,21-30%,False,1,1,D4,True,18.48
7313089888511,2024,5,Subscription,50.92,1,False,True,0%,False,1,1,D4,True,20.368000000000002
7313591402751,2024,5,Subscription,295.46,3,True,True,31-50%,False,4,6,D9,True,118.184
7313633411327,2024,6,Subscription,96.45,2,True,True,0%,False,3,4,D7,True,38.580000000000005
7313721196799,2024,5,Subscription,112.95,1,False,False,6-10%,False,2,2,D7,True,45.18000000000001
7314094194943,2024,5,Subscription,55.81,1,False,False,11-20%,False,1,1,D5,True,22.324
7316711014655,2024,6,Subscription,112.1,1,False,False,1-5%,False,1,2,D7,True,44.84
7317310079231,2024,6,Subscription,25.42,1,False,True,0%,False,1,1,D3,True,10.168000000000001
7318538158335,2024,6,Subscription,80.71,1,False,False,1-5%,False,1,1,D6,True,32.284
7321475743999,2024,6,Marketplace,88.7,1,False,False,1-5%,False,1,2,D6,True,35.480000000000004
7321657475327,2024,6,Subscription,155.35,2,True,False,11-20%,False,1,2,D8,True,62.14
7321791725823,2024,6,Marketplace,35.33,1,False,False,11-20%,False,1,1,D3,True,14.132
7321798050047,2024,6,Marketplace,56.3,1,False,False,6-10%,False,1,1,D5,True,22.52
7321909952767,2024,6,Marketplace,30.03,1,False,False,11-20%,False,1,1,D3,True,12.012
7322489848063,2024,6,Marketplace,33.38,1,False,False,11-20%,False,1,1,D3,True,13.352000000000002
7323204714751,2024,6,Marketplace,103.47,2,True,False,11-20%,False,1,1,D7,True,41.388000000000005
7323303674111,2024,6,Subscription,63.9,1,False,False,0%,False,1,1,D5,True,25.560000000000002
7323868365055,2024,6,Marketplace,25.01,1,False,False,11-20%,False,1,1,D3,True,10.004000000000001
7328844644607,2024,6,Subscription,55.05,1,False,False,11-20%,False,1,1,D5,True,22.02
7329216168191,2024,6,Marketplace,26.97,1,False,False,11-20%,False,1,1,D3,True,10.788
7333875286271,2024,6,Marketplace,37.5,1,False,False,11-20%,False,1,1,D4,True,15.0
7334651068671,2024,6,Marketplace,58.41,1,False,False,1-5%,False,1,1,D5,True,23.364
7335218184447,2024,6,Subscription,318.6,1,False,False,6-10%,False,1,2,D9,True,127.44000000000001
7335513391359,2024,6,Subscription,153.41,3,True,True,0%,False,1,3,D8,True,61.364000000000004
7336611250431,2024,6,Subscription,138.77,3,True,True,0%,False,1,3,D8,True,55.50800000000001
7336841543935,2024,6,Subscription,407.68,5,True,True,6-10%,False,4,11,D9,False,163.072
7338895868159,2024,6,Subscription,1265.88,5,True,True,11-20%,False,2,4,D10,True,506.3520000000001
7339179114751,2024,6,Marketplace,48.28,1,False,False,21-30%,False,1,1,D4,True,19.312
7339270406399,2024,6,Subscription,203.16,1,False,False,31-50%,False,4,6,D9,True,81.26400000000001
7339342004479,2024,6,Marketplace,98.9,1,False,False,11-20%,False,1,2,D7,True,39.56
7339726078207,2024,6,Marketplace,46.34,1,False,False,21-30%,False,1,1,D4,True,18.536
7340202328319,2024,6,Subscription,248.94,1,False,False,6-10%,False,5,6,D9,True,99.57600000000001
7341017956607,2024,6,Subscription,122.26,1,False,True,11-20%,False,1,2,D7,True,48.904
7341024936191,2025,9,Direct / Organic,129.0,1,False,False,11-20%,False,2,2,D8,True,51.6
7341135954175,2024,6,Subscription,360.4,2,True,False,6-10%,False,4,5,D9,True,144.16
7342652686591,2024,6,Marketplace,26.99,1,False,False,11-20%,False,1,1,D3,True,10.796
7345272127743,2025,2,Direct / Organic,84.7,1,False,False,0%,False,1,1,D6,True,33.88
7346447384831,2024,6,Subscription,0.0,1,False,False,51%+,False,2,2,D1,False,0.0
7346449285375,2024,6,Subscription,0.0,1,False,False,51%+,False,2,2,D1,False,0.0
7347034816767,2024,6,Subscription,95.11,2,True,False,11-20%,False,2,2,D7,True,38.044000000000004
7347175325951,2026,2,Subscription,110.28,2,True,True,6-10%,False,1,1,D7,True,44.112
7351798989055,2024,6,Marketplace,35.55,1,False,False,11-20%,False,1,1,D3,True,14.219999999999999
7352092655871,2024,6,Marketplace,26.64,1,False,False,11-20%,False,1,1,D3,True,10.656
7353894306047,2024,6,Marketplace,28.58,1,False,False,11-20%,False,1,1,D3,True,11.432
7354644365567,2024,6,Marketplace,25.71,1,False,False,11-20%,False,1,1,D3,True,10.284
7355080933631,2024,6,Marketplace,69.49,1,False,False,11-20%,False,2,3,D6,True,27.796
7355300544767,2023,6,Subscription,181.19393939393942,7,True,True,0%,False,1,2,D8,True,72.47757575757576
7355386855679,2024,6,Marketplace,56.3,1,False,False,6-10%,False,1,1,D5,True,22.52
7356383363327,2025,4,Direct / Organic,8.41,1,False,False,11-20%,False,1,3,D1,True,3.3640000000000003
7363427959039,2024,6,Subscription,94.08,1,False,False,21-30%,False,2,3,D7,True,37.632
7363903357183,2024,6,Subscription,49.15,1,False,False,21-30%,False,1,2,D4,True,19.66
7363955884287,2024,7,Subscription,267.51,7,True,True,11-20%,False,2,5,D9,False,107.004
7364057563391,2024,6,Subscription,300.09000000000003,3,True,False,21-30%,False,5,5,D9,True,120.03600000000002
7364114153727,2024,8,Subscription,128.56,1,False,False,21-30%,False,2,4,D8,True,51.42400000000001
7364449698047,2024,6,Marketplace,33.93,1,False,False,11-20%,False,1,1,D3,True,13.572000000000001
7365373395199,2024,6,Subscription,0.0,1,False,False,51%+,False,2,2,D1,False,0.0
7365375525119,2024,6,Subscription,64.72,3,True,False,51%+,False,3,6,D5,False,25.888
7365377556735,2024,6,Subscription,0.0,1,False,False,51%+,False,2,2,D1,False,0.0
7365381226751,2024,6,Subscription,0.0,1,False,False,51%+,False,1,1,D1,False,0.0
7365382766847,2024,6,Subscription,0.0,1,False,False,51%+,False,2,2,D1,False,0.0
7365384765695,2024,6,Subscription,0.0,2,True,False,51%+,False,3,5,D1,False,0.0
7365386797311,2024,6,Subscription,0.0,1,False,False,51%+,False,2,2,D1,False,0.0
7366198984959,2024,6,Marketplace,27.89,1,False,False,11-20%,False,1,1,D3,True,11.156
7366249840895,2024,6,Subscription,189.2,3,True,False,21-30%,False,1,2,D8,True,75.67999999999999
7366254100735,2024,6,Subscription,49.15,2,True,False,21-30%,False,2,3,D4,True,19.66
7366333694207,2024,6,Subscription,52.1,1,False,False,11-20%,False,1,2,D5,True,20.840000000000003
7366362038527,2024,6,Marketplace,115.94,1,False,False,1-5%,False,1,1,D7,True,46.376000000000005
