year,n_total,n_new,n_retained,n_recovered,pct_new,pct_retained,pct_recovered
2019,1,1,0,0,1.0,0.0,0.0
2020,803,803,0,0,1.0,0.0,0.0
2021,1517,1283,234,0,0.8457,0.1543,0.0
2022,983,618,317,48,0.6287,0.3225,0.0488
2023,736,510,182,44,0.6929,0.2473,0.0598
2024,1332,1065,161,106,0.7995,0.1209,0.0796
2025,3621,3340,221,60,0.9224,0.061,0.0166
2026,828,562,248,18,0.6787,0.2995,0.0217
