product_category,total_units,total_revenue,n_orders,n_customers,avg_unit_price,revenue_per_customer
Unknown,42410.0,4357068.23,14312,7478,71.77646601941747,582.6515418561113
Other,15344.0,985775.36,7444,4111,67.66139890239965,239.78967647774263
Clear Protein,6757.0,453601.03,3728,2660,76.14714285714285,170.52670300751882
Lean Protein,7387.0,334539.91,3760,2498,54.128961737331956,133.92310248198558
Collagen Glow,3398.0,229279.78,1918,1025,67.66502574665294,223.68759024390243
Soy Protein,1420.0,89814.57,965,639,62.920010298661175,140.554882629108
Accessories,2651.0,29543.32,2275,2002,13.271619380183326,14.756903096903097
