channel,orders,unique_customers,pct_discounted,avg_order_value,avg_discount,total_revenue,total_discount
POS (on-site),415,395,0.9951807228915662,59.17877108433735,16.250385542168676,24559.19,6743.91
Web (off-site),4912,3339,0.5258550488599348,85.31750610749185,15.013953583061888,419079.58999999997,73748.54
