channel,orders,customers,revenue,disc_amt,aov,disc_rate
Direct / Organic,13208,7252,3957837.66,448136.74,299.65457752877046,0.11322767088936134
Subscription,10230,4584,1633229.33,136158.27,159.65096089931575,0.08336751459147503
Marketplace,3268,2126,250317.02,73472.16,76.5963953488372,0.2935164376757122
Paid Social,473,442,21225.32,696.89,44.8738266384778,0.03283295611090905
Email,128,123,7925.7,1578.38,61.91953125,0.19914707849148972
Affiliate,40,34,2877.52,879.8100000000001,71.938,0.30575287052739863
Paid Search,3,3,164.7,0.0,54.9,0.0
