discount_bin,customers,repeat_rate,avg_ltv
0% (full price),9398,0.36412002553734835,274.4510746000116
1-5%,186,0.1774193548387097,108.53961062235257
6-10%,395,0.2607594936708861,135.0460667433832
11-20%,1250,0.2552,119.58373203775459
21-30%,458,0.2554585152838428,157.94625115786687
31-50%,1189,0.2304457527333894,150.37970894818665
51%+,430,0.2186046511627907,92.20235080118763
