customer_id,p1_revenue,p2_revenue,p1_tier,p2_tier,p1_tier_num,p2_tier_num,movement,revenue_change,revenue_pct_change,profit_decile,freq_decile,clean_revenue,clean_orders
7756011536639,1058.9060606060607,244.37575757575758,T1,T2,1,2,-1,-814.5303030303031,-0.7692186619123795,D1,D1,1303.28,9
7756034539775,913.0454545454545,189.03454545454545,T1,T2,1,2,-1,-724.0109090909091,-0.7929626126350376,D1,D1,1102.08,8
6329874153727,725.1700000000001,74.61,T1,T4,1,4,-3,-650.5600000000001,-0.8971137802170526,D1,D1,799.78,7
6327689576703,652.0999999999999,64.8,T1,T4,1,4,-3,-587.3,-0.9006287379236314,D1,D1,716.9,5
7755978309887,781.209090909091,215.08181818181822,T1,T2,1,2,-1,-566.1272727272727,-0.7246808560157332,D1,D1,996.29,7
6336658145535,679.56,130.5,T1,T3,1,3,-2,-549.06,-0.8079639766907999,D1,D3,810.06,2
6336754647295,645.9,109.0,T1,T3,1,3,-2,-536.9,-0.8312432265056511,D1,D1,754.9,4
6327607918847,632.36,107.64,T1,T3,1,3,-2,-524.72,-0.8297805047757607,D1,D2,740.0,3
7755978670335,411.75757575757575,29.969696969696972,T1,T5,1,5,-4,-381.78787878787875,-0.9272151898734177,D1,D1,441.73,10
6327752720639,496.33,153.15,T1,T3,1,3,-2,-343.17999999999995,-0.691435133882699,D1,D1,649.48,4
6336735478015,385.26,53.92,T1,T5,1,5,-4,-331.34,-0.8600425686549343,D1,D2,439.18,3
6423604723967,358.91999999999996,44.8,T1,T5,1,5,-4,-314.11999999999995,-0.8751810988521118,D1,D2,403.72,3
7756349440255,399.73030303030305,101.07151515151516,T1,T4,1,4,-3,-298.6587878787879,-0.7471507304167204,D1,D1,500.8,10
6328258035967,413.31,179.62,T1,T2,1,2,-1,-233.69,-0.56541095061818,D1,D1,592.93,6
6336660734207,391.52,171.18,T1,T2,1,2,-1,-220.33999999999997,-0.5627809562729873,D1,D3,562.7,2
7756000854271,433.4787878787879,242.26969696969695,T1,T2,1,2,-1,-191.20909090909095,-0.4411036854762039,D1,D1,675.75,6
6368762626303,375.96,190.44,T1,T2,1,2,-1,-185.51999999999998,-0.4934567507181615,D1,D3,566.4,2
7756267454719,329.6878787878788,146.74545454545455,T1,T3,1,3,-2,-182.94242424242424,-0.5548958151419616,D1,D1,476.43,8
7756003279103,355.7666666666667,174.91696969696972,T1,T2,1,2,-1,-180.849696969697,-0.5083379470711992,D1,D1,530.68,8
