freq_decile,n_customers,total_orders,total_revenue,total_profit,avg_orders,median_orders,avg_revenue,avg_aov,avg_profit,pct_customers,pct_transactions,pct_revenue,cum_pct_transactions
D1,429,2180,176424.9193939394,70569.96775757577,5.081585081585081,4.0,411.2468983541711,81.14157286614049,164.49875934166846,0.1,0.3211549793753683,0.3196773449966029,0.3211549793753683
D2,429,904,78655.0196969697,31462.00787878788,2.1072261072261074,2.0,183.34503425867064,83.55599126462764,73.33801370346825,0.1,0.13317619328226282,0.14252084089798112,0.4543311726576311
D3,429,701,74883.67,29953.468,1.634032634032634,2.0,174.55400932400931,102.06307692307692,69.82160372960374,0.1,0.10327047731290513,0.1356872537702523,0.5576016499705363
D4,429,429,33030.46,13212.184000000001,1.0,1.0,76.99407925407925,76.99407925407925,30.797631701631705,0.1,0.0631997642899234,0.05985033062840226,0.6208014142604596
D5,429,429,30099.74,12039.896,1.0,1.0,70.1625641025641,70.1625641025641,28.065025641025642,0.1,0.0631997642899234,0.0545399425508741,0.684001178550383
D6,429,429,20308.366666666665,8123.346666666667,1.0,1.0,47.33885003885003,47.33885003885003,18.935540015540017,0.1,0.0631997642899234,0.0367982298618555,0.7472009428403064
D7,429,429,28599.301515151517,11439.720606060608,1.0,1.0,66.66503849685668,66.66503849685668,26.666015398742676,0.1,0.0631997642899234,0.051821187213959,0.8104007071302297
D8,429,429,29904.29181818182,11961.716727272727,1.0,1.0,69.70697393515576,69.70697393515576,27.8827895740623,0.1,0.0631997642899234,0.0541857955513307,0.8736004714201531
D9,429,429,34606.2,13842.480000000001,1.0,1.0,80.66713286713286,80.66713286713286,32.26685314685315,0.1,0.0631997642899234,0.06270553034358632,0.9368002357100764
D10,429,429,45372.36727272727,18148.94690909091,1.0,1.0,105.76309387582114,105.76309387582114,42.305237550328464,0.1,0.0631997642899234,0.08221354418515593,0.9999999999999998
