p1_tier,n_customers,avg_p1_rev,avg_p2_rev,total_p1_rev,total_p2_rev,avg_change,pct_change
T5,33,42.88798898071625,127.99165289256199,1415.3036363636363,4223.7245454545455,85.10366391184573,1.9843239548982101
T4,33,76.08674931129477,158.00504132231404,2510.862727272727,5214.166363636364,81.91829201101928,1.0766433413506187
T3,33,119.65088154269974,153.62149678604223,3948.479090909091,5069.509393939394,33.97061524334249,0.2839144585091872
T2,33,207.37235996326905,151.86009182736456,6843.287878787879,5011.38303030303,-55.51226813590449,-0.2676936701966315
T1,33,841.3628650137741,315.8118457300275,27764.974545454545,10421.790909090909,-525.5510192837467,-0.62464251886746
