decile,2022,2023,2024,2025,change_yr2022_to_yr2025
D1,1.28,1.65,2.11,2.38,1.0999999999999999
D10,1.04,1.08,1.1,1.11,0.07000000000000006
D2,1.12,1.47,1.78,1.99,0.8699999999999999
D3,1.1,1.28,1.48,1.59,0.49
D4,,,,1.43,
D5,,,,1.66,
D6,1.0,1.0,1.0,1.65,0.6499999999999999
D7,,1.35,1.46,1.47,
D8,1.07,1.13,1.16,1.16,0.08999999999999986
D9,1.04,1.13,1.35,1.36,0.32000000000000006
