decile,2022,2023,2024,2025,trend_yr2022_to_yr2025
D1,1.28,1.63,2.01,1.92,0.6399999999999999
D10,1.04,1.22,1.53,1.4,0.3599999999999999
D2,1.12,1.6,1.9,1.98,0.8599999999999999
D3,1.1,1.41,1.66,1.54,0.43999999999999995
D4,,,,1.43,
D5,,,,1.66,
D6,1.0,1.0,1.0,1.66,0.6599999999999999
D7,,1.35,1.49,1.58,
D8,1.07,1.37,1.8,1.6,0.53
D9,1.04,1.19,1.39,1.64,0.5999999999999999
