decile,n_customers,pct_customers,avg_profit,avg_orders,aov_decile,avg_cats_ever,avg_handles_ever,avg_units_per_tx,dollars_per_unit,units_per_cat_per_tx,avg_cats_per_tx,total_profit,total_revenue,total_orders
D1,429,0.1,164.4986247086247,5.081585081585081,80.92885321100917,2.4125874125874125,2.7855477855477857,2.067889908256881,41.30292685058213,1.6071301247771836,1.286697247706422,70569.91,176424.9,2180
D2,429,0.1,73.33822843822844,2.1072261072261074,87.00773230088497,2.0326340326340326,2.277389277389277,2.3019911504424777,39.637312917740594,1.6169386169386168,1.4236725663716814,31462.1,78654.99,904
D3,429,0.1,69.82156177156178,1.634032634032634,106.82407988587731,1.5757575757575757,1.6596736596736597,2.3680456490727533,47.52516557137641,1.8383167220376524,1.2881597717546363,29953.45,74883.68,701
D4,429,0.1,30.79759906759907,1.0,76.99407925407925,1.4405594405594406,1.4871794871794872,1.9696969696969697,40.576201183431955,1.367313915857605,1.4405594405594406,13212.17,33030.46,429
D5,429,0.1,28.064941724941725,1.0,70.1625641025641,1.6596736596736597,1.7389277389277389,2.48018648018648,29.766484962406015,1.4943820224719102,1.6596736596736597,12039.86,30099.74,429
D6,429,0.1,18.935454545454547,1.0,47.33885780885781,1.6503496503496504,1.68997668997669,2.5571095571095572,18.861945250131214,1.5494350282485876,1.6503496503496504,8123.31,20308.37,429
D7,429,0.1,26.666083916083917,1.0,66.66503496503496,1.4662004662004662,1.5361305361305362,1.9836829836829837,37.934800769148595,1.3529411764705883,1.4662004662004662,11439.75,28599.3,429
D8,429,0.1,27.882703962703964,1.0,69.70741258741259,1.1724941724941724,1.191142191142191,2.023310023310023,35.240187124703255,1.7256461232604374,1.1724941724941724,11961.68,29904.48,429
D9,429,0.1,32.265920745920745,1.0,80.6671794871795,1.3613053613053614,1.4172494172494172,2.0186480186480185,46.702320316327246,1.482876712328767,1.3613053613053614,13842.08,34606.22,429
D10,429,0.1,42.30550116550117,1.0,105.76310023310023,1.1048951048951048,1.1258741258741258,2.9044289044289044,36.842090568607425,2.628691983122363,1.1048951048951048,18149.06,45372.37,429
