,Clear Protein,Lean Protein,Collagen Glow,Accessories,Soy Protein,Other,Unknown
Clear Protein,100.0,25.0,7.6,23.6,1.8,19.7,9.1
Lean Protein,28.9,100.0,7.8,29.2,2.3,20.2,8.5
Collagen Glow,23.8,21.1,100.0,16.7,6.8,37.0,21.1
Accessories,38.5,41.2,8.7,100.0,3.3,29.3,23.7
Soy Protein,9.1,10.0,10.9,10.3,100.0,32.8,15.6
Other,15.5,13.8,9.3,14.2,5.1,100.0,17.6
Unknown,9.1,7.3,6.7,14.5,3.1,22.2,100.0
