profit_decile,n_customers,avg_gp,median_gp,avg_revenue,avg_aov,avg_orders,avg_margin_pct,avg_categories,avg_handles,dollars_per_unit,pct_subscribed,pct_repeat,avg_disc_pct,pct_ever_clear,pct_ever_lean,pct_ever_collagen,pct_1kg_dominant,pct_multi_category,pct_multi_category_3plus
D1,368,356.5450344202899,261.4369393939394,605.0958506258233,210.82821884692538,4.369565217391305,0.6583924712086869,2.4619565217391304,2.358695652173913,61.32214562008039,0.37771739130434784,0.8777173913043478,0.1043598572264775,0.43478260869565216,0.35597826086956524,0.23641304347826086,0.5054347826086957,0.7282608695652174,0.44021739130434784
D2,392,141.5910123685838,140.462,210.70611085343228,125.19563245489394,2.163265306122449,0.7185841627780573,2.114795918367347,2.1377551020408165,51.081440545959374,0.29591836734693877,0.6556122448979592,0.14483125978323125,0.461734693877551,0.413265306122449,0.1760204081632653,0.45918367346938777,0.6479591836734694,0.3622448979591837
D3,458,96.0063723699881,94.80606060606061,143.61787018658197,105.08839823689168,1.7096069868995634,0.7143615990551984,1.8209606986899562,1.7183406113537119,52.98991093021596,0.2314410480349345,0.3777292576419214,0.1264321482260665,0.5393013100436681,0.3056768558951965,0.11790393013100436,0.3646288209606987,0.5545851528384279,0.22707423580786026
D4,460,73.97155915678525,74.87,112.04482411067193,92.13476893939394,1.382608695652174,0.6960008847920323,1.6434782608695653,1.5826086956521739,46.337584142991844,0.2326086956521739,0.2782608695652174,0.11923658636986369,0.4369565217391304,0.34130434782608693,0.1,0.44565217391304346,0.5021739130434782,0.11739130434782609
D5,428,54.990049561030865,54.70909090909092,85.64000424808837,76.19904093505146,1.2032710280373833,0.6779032117930348,1.4929906542056075,1.355140186915888,46.84838311856886,0.1425233644859813,0.1705607476635514,0.08303986025599595,0.45560747663551404,0.16822429906542055,0.08644859813084112,0.352803738317757,0.4182242990654206,0.07009345794392523
D6,461,43.94694300926838,43.040000000000006,66.02007559324261,60.81213468743837,1.1366594360086768,0.7083917190566701,1.3036876355748372,1.1843817787418656,47.31382085731814,0.13232104121475055,0.11062906724511931,0.11554543951319803,0.37093275488069416,0.3232104121475054,0.07158351409978309,0.4360086767895879,0.24945770065075923,0.052060737527114966
D7,420,35.85508455988456,36.79469696969697,61.86245093795094,56.936993987493985,1.1476190476190475,0.618578534163622,1.2595238095238095,0.9571428571428572,41.443878385899815,0.14047619047619048,0.10952380952380952,0.08270506563226777,0.1976190476190476,0.26666666666666666,0.06190476190476191,0.43333333333333335,0.21904761904761905,0.0380952380952381
D8,289,25.78919073083779,25.439999999999998,45.99983642654923,44.34269634056831,1.0622837370242215,0.6149335767934797,1.1730103806228374,0.8996539792387543,35.93193600363496,0.058823529411764705,0.04844290657439446,0.10105587300955039,0.06228373702422145,0.12110726643598616,0.09688581314878893,0.3737024221453287,0.14186851211072665,0.031141868512110725
D9,467,16.65637531633249,16.4,33.724515605736165,31.916500227110507,1.0877944325481799,0.5483043825881454,1.2633832976445396,0.8308351177730193,23.019259383371804,0.08993576017130621,0.08779443254817987,0.041136846482876833,0.139186295503212,0.14132762312633834,0.06638115631691649,0.0728051391862955,0.22269807280513917,0.034261241970021415
D10,547,5.588443299540192,6.659999999999999,13.12606337599025,12.62508919173453,1.0548446069469835,0.46567821118159,1.440585009140768,0.7824497257769653,7.8565330149233255,0.009140767824497258,0.043875685557586835,0.007735535552234814,0.07678244972577697,0.226691042047532,0.0,0.021937842778793418,0.4351005484460695,0.005484460694698354
