first_product_cat,n,d1_rate,avg_gp,repeat_rate
Collagen Glow,209,0.11961722488038277,87.77330897491663,0.3684210526315789
Unknown,1215,0.1102880658436214,83.15824312258387,0.32510288065843623
Other,889,0.09111361079865017,80.56441169853768,0.2857142857142857
Clear Protein,887,0.0777903043968433,89.20370851696218,0.19616685456595265
Lean Protein,616,0.05519480519480519,75.0650927784337,0.2077922077922078
Accessories,371,0.05390835579514825,51.5832302540227,0.20485175202156333
Soy Protein,103,0.04854368932038835,61.6327243306855,0.2524271844660194
