archetype,n,avg_gp,avg_revenue,avg_orders,avg_aov,avg_categories,dollars_per_unit,pct_subscribed,pct_3plus_cat,pct_1kg
VIP (profit+freq D1),238,387.6186508785332,641.6091723962312,5.852941176470588,124.97825944449474,2.697478991596639,49.51779755652988,0.5378151260504201,0.5042016806722689,0.5798319327731093
Profit D1 only,130,299.65641351981355,538.2483846153847,1.6538461538461537,367.999682983683,2.0307692307692307,82.93318284411903,0.08461538461538462,0.3230769230769231,0.36923076923076925
Freq D1 only,264,105.39266643709826,185.54054522497705,3.7083333333333335,53.83826971099888,2.034090909090909,34.39792030554401,0.553030303030303,0.29924242424242425,0.45075757575757575
