acq_year,customers,avg_ltv,repeat_rate
2021,17,246.78549019607843,0.5294117647058824
2022,1060,227.54171240708976,0.3632075471698113
2023,654,120.60305300713557,0.27522935779816515
2024,1452,107.90920131062694,0.27548209366391185
2025,2332,109.17600706897449,0.17881646655231562
2026,838,101.30477326968973,0.07398568019093078
