cohort,2019,2020,2021,2022,2023,2024,2025,2026
2020,,456952.09454545454,295642.69363636366,201829.04515151517,36230.70060606061,37514.24363636364,16558.045757575757,3632.83
2021,,,552287.3236363636,215786.30272727273,29775.079696969697,27504.76878787879,10815.231212121213,2711.65
2022,,,,329971.46606060606,36185.88272727273,26336.67787878788,9195.19606060606,1784.04
2023,,,,,79845.97363636363,22324.334848484847,7887.633939393939,1311.4
2024,,,,,,171290.70545454544,46113.75023845008,33481.11
2025,,,,,,,318581.6711077993,45624.240000000005
2026,,,,,,,,95669.20999999999
