segment,customers,median_days_to_2nd,pct_returned_within_60d,avg_unique_handles,avg_unique_flavor_skus
Loyal (3+ orders),2232,49.0,0.5622759856630825,1.5479390681003584,3.432795698924731
2-order,1972,52.0,0.539553752535497,1.0400608519269776,2.04868154158215
One-and-done,8597,,,0.7945795044783064,1.3876933814121204
