tenure_bin,n,pct
0-30d,134,0.25475285171102663
31-60d,114,0.21673003802281368
61-90d,85,0.16159695817490494
91-120d,48,0.09125475285171103
121-180d,77,0.14638783269961977
181-365d,63,0.11977186311787072
365d+,5,0.009505703422053232
