category_label,customers,repeat_rate,avg_ltv,avg_orders,avg_lifespan_days
1 product,9537,0.2362378106322743,170.1373190222451,1.4802348746985425,42.31823424556988
2 products,2679,0.3967898469578201,229.86273390746632,2.244494214259052,199.27062336692796
3 products,1052,0.6549429657794676,469.7003640972462,3.428707224334601,360.1302281368821
4+ products,512,0.88671875,743.0178212517077,7.056640625,580.33203125
