first_handle,first_variant,first_sku,flavor_sku,customers,repeat_rate,avg_ltv
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,PLT-CHO-480G-V1,plant-protein | 480g Pack (16 servings) / Cocoa Dinosaur,29,0.20689655172413793,114.79310344827586
micronized-creatine-monohydrate,250g (50 servings),0724999807999,micronized-creatine-monohydrate | 250g (50 servings),29,0.27586206896551724,87.55551724137932
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Taro,LEAN-TAR-40G-V1,lushprotein-lean-protein-40g-single-serve | 1 x 40g Sachet (1 serving) / Taro,29,0.1724137931034483,89.94793103448275
better-whey,1KG Pack / Cocoa Dinosaur,724999807937.0,better-whey | 1KG Pack / Cocoa Dinosaur,28,0.2857142857142857,108.06582251082251
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Thai Milk Tea,LEAN-THA-40G-V1,lushprotein-lean-protein-40g-single-serve | 1 x 40g Sachet (1 serving) / Thai Milk Tea,28,0.10714285714285714,62.213928571428575
collagen-glow,300g (30 serves) / Unflavoured,0724999808507,collagen-glow | 300g (30 serves) / Unflavoured,28,0.32142857142857145,67.80680735930736
better-whey,500g (20 servings) / Cocoa Dinosaur,0724999808897,better-whey | 500g (20 servings) / Cocoa Dinosaur,28,0.03571428571428571,45.29857142857143
clear-protein,1 x 500g Pack (20 servings) / White Grape,0724999807807,clear-protein | 1 x 500g Pack (20 servings) / White Grape,28,0.17857142857142858,120.69964285714286
lean-protein,40g Sachet (1 serving) / Thai Milk Tea,0724999810463,lean-protein | 40g Sachet (1 serving) / Thai Milk Tea,27,0.2222222222222222,28.037777777777777
better-whey,1KG Pack / Matchawhey,724999807784.0,better-whey | 1KG Pack / Matchawhey,27,0.3333333333333333,162.03893378226712
better-whey,500g Pack / Cocoa Dinosaur,724999808897.0,better-whey | 500g Pack / Cocoa Dinosaur,25,0.12,68.41077575757576
plant-protein,480g Pack (16 servings) / Natural (Unflavoured),0724999808620,plant-protein | 480g Pack (16 servings) / Natural (Unflavoured),23,0.21739130434782608,90.24623188405798
plant-protein,480g Pack (16 servings) / Cocoa Dinosaur,724999808606.0,plant-protein | 480g Pack (16 servings) / Cocoa Dinosaur,23,0.0,52.92744400527009
better-whey,1kg Pack (40 servings) / Matchawhey,0724999807784,better-whey | 1kg Pack (40 servings) / Matchawhey,23,0.17391304347826086,105.25835309617918
micronized-creatine-monohydrate,1 x 250g Pack (50 servings),0724999807999,micronized-creatine-monohydrate | 1 x 250g Pack (50 servings),22,0.22727272727272727,89.51454545454546
clear-protein-25g-single-sachet,5 x 25g (5 servings) *MOST POPULAR* / White Grape,CLEAR-GRA-25G-5PK-V2,clear-protein-25g-single-sachet | 5 x 25g (5 servings) *MOST POPULAR* / White Grape,22,0.18181818181818182,66.97454545454546
prime-whey-isolate,1kg Pack (40 servings) / Natural (Unflavoured),0724999807760,prime-whey-isolate | 1kg Pack (40 servings) / Natural (Unflavoured),22,0.2727272727272727,123.5492699724518
collagen-glow,300g,0724999808507,collagen-glow | 300g,21,0.42857142857142855,192.0652380952381
soy-protein-isolate,1 x 1kg Pack (40 servings) / Unflavoured,0724999807845,soy-protein-isolate | 1 x 1kg Pack (40 servings) / Unflavoured,21,0.2857142857142857,163.7452380952381
prime-whey-isolate,Natural (Unflavored) / 1kg,724999807760.0,prime-whey-isolate | Natural (Unflavored) / 1kg,21,0.42857142857142855,281.06939393939393
clear-protein-25g-single-sachet,1 x 25g (1 serving) / White Grape,CLEAR-GRA-25G-V2,clear-protein-25g-single-sachet | 1 x 25g (1 serving) / White Grape,21,0.14285714285714285,62.66285714285715
soy-protein-isolate,1KG Pack / Natural (Unflavoured),724999807845.0,soy-protein-isolate | 1KG Pack / Natural (Unflavoured),20,0.2,88.27433333333333
clear-protein,25g Sachet (1 serving) / Peach,0724999810494,clear-protein | 25g Sachet (1 serving) / Peach,20,0.15,59.1075
clear-protein,25g Sachet (1 serving) / White Grape,0724999810487,clear-protein | 25g Sachet (1 serving) / White Grape,20,0.1,32.281
creatine-monohydrate-sachet,10 x 5g (10 servings) *Most Popular*,CRE-UNF-5G-10PK-V1,creatine-monohydrate-sachet | 10 x 5g (10 servings) *Most Popular*,20,0.35,107.258
plant-protein,480g Pack (16 servings) / Vanilla,724999808613.0,plant-protein | 480g Pack (16 servings) / Vanilla,19,0.10526315789473684,60.26783094098883
better-whey,1kg Pack (40 servings) / Cocoa Dinosaur,724999807937.0,better-whey | 1kg Pack (40 servings) / Cocoa Dinosaur,19,0.3684210526315789,204.93931419457735
better-whey,500g Pack (20 servings) / Cocoa Dinosaur,0724999808897,better-whey | 500g Pack (20 servings) / Cocoa Dinosaur,17,0.29411764705882354,78.81573975044564
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Taro,LEAN-TAR-40G-5PK-V1,lushprotein-lean-protein-40g-single-serve | 5 x 40g Sachet (5 servings) *Most Popular* / Taro,17,0.4117647058823529,104.05588235294118
better-whey,1kg Pack (40 servings) / Matchawhey,724999807784.0,better-whey | 1kg Pack (40 servings) / Matchawhey,17,0.35294117647058826,99.23470588235294
better-whey,1kg (40 serves) / Cocoa Dinosaur,0724999807937,better-whey | 1kg (40 serves) / Cocoa Dinosaur,17,0.29411764705882354,85.17639928698752
lean-protein,40g Sachet / Thai Milk Tea,0724999810463,lean-protein | 40g Sachet / Thai Milk Tea,16,0.25,77.4325
better-whey,1KG Pack / Natural (Unflavored),724999807890.0,better-whey | 1KG Pack / Natural (Unflavored),16,0.0625,100.34473484848485
plant-protein,Cocoa Dinosaur / 480g,724999808606.0,plant-protein | Cocoa Dinosaur / 480g,16,0.0625,52.114621212121214
prime-whey-isolate,1kg Pack (40 servings) / Cocoa Dinosaur,0724999807791,prime-whey-isolate | 1kg Pack (40 servings) / Cocoa Dinosaur,16,0.375,137.46265151515152
better-whey,1kg Pack (40 servings) / Natural (Unflavoured),724999807890.0,better-whey | 1kg Pack (40 servings) / Natural (Unflavoured),15,0.2,112.627898989899
lushprotein-lean-protein-40g-single-serve,1 x 40g Sachet (1 serving) / Taro,0724999810470,lushprotein-lean-protein-40g-single-serve | 1 x 40g Sachet (1 serving) / Taro,15,0.3333333333333333,57.178000000000004
plant-protein,Natural (Unflavored) / 480g,724999808620.0,plant-protein | Natural (Unflavored) / 480g,14,0.07142857142857142,44.89575757575757
lushprotein-lean-protein-40g-single-serve,5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,LEAN-THA-40G-5PK-V1,lushprotein-lean-protein-40g-single-serve | 5 x 40g Sachet (5 servings) *Most Popular* / Thai Milk Tea,13,0.15384615384615385,61.72769230769231
green-tea-extract-capsules,60 Capsules,0724999807548,green-tea-extract-capsules | 60 Capsules,13,0.5384615384615384,157.5927505827506
lushprotein-clear-shaker,500g Pack (20 Serv) / Peach,0724999808361,lushprotein-clear-shaker | Default,13,0.46153846153846156,134.23079254079255
plant-protein,480g Pack (16 servings) / Vanilla,PLT-VAN-480G-V1,plant-protein | 480g Pack (16 servings) / Vanilla,13,0.15384615384615385,96.97076923076922
lushprotein-lean-protein-40g-single-serve,40g Sachet / Thai Milk Tea,0724999810463,lushprotein-lean-protein-40g-single-serve | 40g Sachet / Thai Milk Tea,13,0.23076923076923078,36.472307692307695
better-whey,1kg Pack (40 servings) / Vanilla (Exp Nov23),724999807913.0,better-whey | 1kg Pack (40 servings) / Vanilla (Exp Nov23),13,0.15384615384615385,92.27
better-whey,1kg (40 serves) / Matchawhey,0724999807784,better-whey | 1kg (40 serves) / Matchawhey,12,0.3333333333333333,126.015
