transition,n_with_prior,n_made_next,conversion_rate,median_days,p25_days,p75_days,pct_within_60d,pct_within_180d,pct_within_365d
1->2,1696,896,0.5283,84.0,14.0,255.0,0.4185,0.6763,0.8192
2->3,896,603,0.673,92.0,28.0,236.0,0.3831,0.6998,0.8574
3->4,603,452,0.7496,96.0,33.0,214.0,0.3761,0.6925,0.8496
4->5,452,329,0.7279,86.0,28.0,173.0,0.3799,0.769,0.8906
5->6,329,265,0.8055,84.0,34.0,190.0,0.3962,0.7396,0.883
