group,ord_up,aov_up,n,total_prof_a,total_prof_b,prof_delta
Profit UP,False,True,2,138.70000000000002,147.40400000000002,8.704000000000008
Profit UP,True,False,65,4924.427878787879,8237.629454545457,3313.2015757575764
Profit UP,True,True,109,8182.020242424242,15216.685575757578,7034.665333333333
Profit DOWN,False,False,43,6206.564848484848,2075.516606060606,-4131.048242424243
Profit DOWN,False,True,52,6593.83296969697,3745.686424242425,-2848.146545454546
Profit DOWN,True,False,86,7160.4852121212125,4618.155515151517,-2542.3296969696967
