vtd_decile,customers,avg_ltv,avg_unique_handles,avg_unique_flavors,pct_repeat,pct_multi_product,pct_3plus_products,cum_pct_customers,cum_pct_ltv
D1,1378,2.2364709504332145,0.22060957910014514,0.5,0.001451378809869376,0.04281567489114659,0.002902757619738752,0.1,0.0010606648730693963
D2,1378,17.83955776927475,0.6879535558780842,1.3715529753265603,0.02467343976777939,0.15602322206095792,0.007982583454281567,0.2,0.009521222911302234
D3,1378,28.979218454501474,0.5145137880986937,1.1502177068214805,0.0602322206095791,0.07184325108853411,0.01088534107402032,0.3,0.023264857299998484
D4,1378,43.39903043497383,0.6088534107402032,1.1828737300435415,0.11538461538461539,0.07910014513788098,0.013788098693759071,0.4,0.043847206960623324
D5,1378,59.00467585873246,0.8447024673439768,1.3142235123367199,0.12989840348330914,0.15021770682148042,0.022496371552975326,0.5,0.07183066322598661
D6,1378,77.5859335004618,0.9492017416545718,1.5725689404934688,0.23149492017416545,0.2532656023222061,0.07039187227866474,0.6,0.10862643483764
D7,1378,107.83175814751286,1.1037735849056605,1.8483309143686502,0.32801161103047893,0.3149492017416546,0.12336719883889695,0.7,0.1597665393161833
D8,1378,154.89484447967746,1.2206095791001452,2.032656023222061,0.49782293178519593,0.34252539912917274,0.15965166908563136,0.8,0.2332267023141945
D9,1378,272.1807627777934,1.3809869375907111,2.646589259796807,0.7656023222060958,0.3788098693759071,0.23149492017416545,0.9,0.3623106835515625
D10,1378,1344.6034349298502,1.4216255442670538,3.530478955007257,0.8962264150943396,0.3599419448476052,0.22568940493468795,1.0,1.0
