ever_subscribed,customers,repeat_rate,avg_ltv,median_ltv,avg_orders,avg_lifespan_days,pct_discounted,median_days_2nd
One-time / Non-subscriber,12685,0.2872684272763106,199.5179346745171,62.1,1.7363027197477336,92.76460386283011,0.43271580607016163,49.0
Subscriber,1095,0.7442922374429224,531.5678372768784,177.2,4.863013698630137,398.81552511415526,0.6730593607305936,48.0
