factor,loyal_pct,one_and_done_pct,gap_pp,lift_vs_one_and_done,lift_vs_baseline
2+ unique product handles purchased,0.40636200716845877,0.16947772478771664,0.23688428238074213,2.3977310745554155,2.508812033504195
Ever subscribed,0.26030465949820786,0.03373269745259974,0.22657196204560812,7.716686750710666,1.6070780501278246
First order full-price (0% discount),0.8149641577060932,0.6011399325346051,0.21382422517148814,1.355697922561781,5.031454342827045
3+ unique product handles purchased,0.24551971326164876,0.04140979411422589,0.20410991914742288,5.929025210422457,1.5157982297246955
First order via web (not POS),0.9937275985663082,0.9619634756310341,0.031764122935274086,1.0330200924878539,6.135110353155792
