kpi,value,status,benchmark
Overall Repeat Rate,32.4%,ALERT,Target: >35%
YoY Retention (latest yr),7.8%,ALERT,Target: >40%
Avg 60-Day Cohort Retention,18.1%,ALERT,Target: >20%
Acquisition Dependency,51.9%,ALERT,Target: <50% (lower=better)
Top 20% Revenue Concentration,78.1%,OK,Healthy if <80%
