customer_id,total_discount,ever_subscribed,ever_discounted,first_channel,first_product_cat,first_store,cohort_month,total_orders,total_revenue,last_order_date,first_order_date,is_repeat,acq_year,acq_month,lifespan_days,recency_days,first_disc_depth,first_disc_bin,first_order_source,second_order_date,days_to_second,first_order_pos,exclude_elite_buyer,exclude_51pct,exclude_promo_month,finals_eligible,unique_handles,unique_flavor_skus,loyal_repeater,profit_proxy,vtd_decile,clean_orders,clean_revenue,aov,true_gp_covered,rev_covered,rev_total_lines,cogs_coverage_pct,gp_remainder,true_gross_profit,avg_margin_pct,profit_decile_proxy,profit_decile_true,freq_decile,is_top_profit,is_top_freq,is_top_both
6327387259135,0.0,False,False,Subscription,Unknown,SG,2022-06,1,1693.12,2022-06-28 16:00:00+00:00,2022-06-28 16:00:00+00:00,False,2022,6,0,1401,0.0,0%,17346527233,,,False,False,False,False,True,0,1,False,677.248,D10,1,1693.12,1693.12,0.0,0.0,1693.12,0.0,1693.12,677.248,0.4000000000000001,D1,D1,D10,True,False,False
6327390765311,0.0,False,False,Subscription,Unknown,SG,2022-08,1,972.7,2022-08-29 16:00:00+00:00,2022-08-29 16:00:00+00:00,False,2022,8,0,1339,0.0,0%,17346527233,,,False,False,False,False,True,0,1,False,389.08000000000004,D10,1,972.7,972.7,0.0,0.0,972.7,0.0,972.7,389.08000000000004,0.4,D1,D1,D10,True,False,False
6327391977727,24.22,False,True,Subscription,Unknown,SG,2022-08,2,211.97,2023-01-04 16:00:00+00:00,2022-08-04 16:00:00+00:00,True,2022,8,153,1211,0.0,0%,17346527233,2023-01-04 16:00:00+00:00,153.0,False,False,False,False,True,2,3,False,84.78800000000001,D9,2,211.97,105.985,86.95,125.80000000000001,236.19,0.5326220415766968,86.16999999999999,121.418,0.5728074727555786,D2,D2,D3,False,False,False
6327396303103,0.0,False,False,Subscription,Unknown,SG,2022-01,2,139.44,2022-04-20 16:00:00+00:00,2022-01-03 16:00:00+00:00,True,2022,1,107,1470,0.0,0%,17346527233,2022-04-20 16:00:00+00:00,107.0,False,False,False,False,True,0,1,False,55.776,D8,2,139.44,69.72,0.0,0.0,129.64,0.0,139.44,55.776,0.4,D3,D5,D3,False,False,False
6327398400255,0.0,False,False,Subscription,Unknown,SG,2022-01,1,150.97,2022-01-23 16:00:00+00:00,2022-01-23 16:00:00+00:00,False,2022,1,0,1557,0.0,0%,17346527233,,,False,False,False,False,True,0,1,False,60.388000000000005,D8,1,150.97,150.97,0.0,0.0,146.07,0.0,150.97,60.388000000000005,0.4,D3,D5,D10,False,False,False
6327399678207,69.59,False,True,Subscription,Unknown,SG,2022-05,2,109.28999999999999,2022-09-26 16:00:00+00:00,2022-05-18 16:00:00+00:00,True,2022,5,131,1311,0.0,0%,17346527233,2022-09-26 16:00:00+00:00,131.0,False,False,False,False,True,1,2,False,43.716,D7,2,109.28999999999999,54.644999999999996,98.88999999999999,119.99,173.98,0.6896769743648695,0.0,98.88999999999999,0.9048403330588343,D4,D3,D3,False,False,False
6327399940351,0.0,False,False,Subscription,Unknown,SG,2022-06,1,648.91,2022-06-19 16:00:00+00:00,2022-06-19 16:00:00+00:00,False,2022,6,0,1410,0.0,0%,17346527233,,,False,False,False,False,True,0,1,False,259.564,D10,1,648.91,648.91,0.0,0.0,648.91,0.0,648.91,259.564,0.4000000000000001,D1,D1,D10,True,False,False
6327401644287,0.0,False,False,Subscription,Unknown,SG,2022-02,1,24.4,2022-02-17 16:00:00+00:00,2022-02-17 16:00:00+00:00,False,2022,2,0,1532,0.0,0%,17346527233,,,False,False,False,False,True,0,1,False,9.76,D2,1,24.4,24.4,0.0,0.0,19.5,0.0,24.4,9.76,0.4,D9,D9,D10,False,False,False
6327401709823,19.080000000000002,False,True,Subscription,Unknown,SG,2022-04,3,363.04,2023-04-03 16:00:00+00:00,2022-04-22 16:00:00+00:00,True,2022,4,346,1122,0.0,0%,17346527233,2023-01-11 16:00:00+00:00,264.0,False,False,False,False,True,2,6,True,145.216,D10,3,363.04,121.01333333333334,60.0,82.8,372.32,0.22238934250107434,280.24,172.096,0.4740414279418246,D1,D1,D2,True,False,False
6327404921087,147.74,False,True,Subscription,Unknown,SG,2022-08,2,361.09000000000003,2023-06-21 16:00:00+00:00,2022-08-16 16:00:00+00:00,True,2022,8,309,1043,0.0,0%,17346527233,2023-06-21 16:00:00+00:00,309.0,False,False,False,False,True,2,3,False,144.436,D10,2,361.09000000000003,180.54500000000002,96.91,251.56,361.09000000000003,0.696668420615359,109.53000000000003,140.722,0.3897144756154975,D1,D2,D3,False,False,False
6327406264575,4.49,False,True,Subscription,Other,SG,2024-10,1,30.31,2024-10-13 16:00:00+00:00,2024-10-13 16:00:00+00:00,False,2024,10,0,563,0.12902298850574714,11-20%,web,,,False,False,False,False,True,1,1,False,12.124,D2,1,30.31,30.31,23.159999999999997,29.9,29.9,1.0,0.41000000000000014,23.323999999999998,0.769515011547344,D9,D8,D10,False,False,False
