scenario,n_customers,d1_revenue_sgd,d1_gp_sgd,gp_lost_if_10pct_discount_sgd,note
10pct_site_discount_on_D1,429,239489.0,139961.0,13996.0,Assumes discount erodes GP proportionally on D1 base
10pct_site_discount_on_VIP_only,245,144086.0,87618.0,8762.0,VIP = profit D1 AND frequency D1
exclude_D1_from_blanket_promo,429,239489.0,139961.0,0.0,Protective action — GP preserved vs blanket promo
