profit_decile,n_customers,total_revenue,total_profit,total_orders,avg_revenue,median_revenue,avg_profit,avg_orders,avg_aov,pct_customers,pct_revenue,pct_profit,pct_transactions,cum_pct_revenue
D1,429,244877.02303030304,97950.80921212121,1823,570.8089114925478,398.91,228.32356459701913,4.24941724941725,209.8280334661465,0.1,0.4437107685349375,0.44371076853493746,0.26856216853270476,0.4437107685349375
D2,429,84129.73333333334,33651.89333333333,963,196.10660450660453,193.94,78.4426418026418,2.2447552447552446,109.56839676148766,0.1,0.15244087898501307,0.15244087898501305,0.14186800235710076,0.5961516475199506
D3,429,57073.511212121215,22829.404484848485,656,133.03848767394223,130.39393939393938,53.215395069576886,1.529137529137529,105.57770344470343,0.1,0.10341571132128582,0.1034157113212858,0.0966411314083677,0.6995673588412364
D4,429,45209.44393939394,18083.777575757576,557,105.38331920604648,105.74,42.15332768241859,1.2983682983682985,91.89898195239105,0.1,0.08191833136138414,0.08191833136138413,0.08205657041838539,0.7814856902026206
D5,429,35487.29181818182,14194.916727272728,513,82.72095994914176,82.89,33.08838397965671,1.1958041958041958,75.28616709048528,0.1,0.06430204570038614,0.06430204570038614,0.07557454331172658,0.8457877359030067
D6,429,28586.158484848485,11434.463393939395,468,66.63440206258389,65.88484848484848,26.653760825033554,1.0909090909090908,63.83657519248428,0.1,0.05179737238639996,0.05179737238639996,0.06894519740718916,0.8975851082894066
D7,429,23971.53303030303,9588.613212121212,457,55.87769937133574,55.81,22.351079748534293,1.0652680652680653,54.15261531397895,0.1,0.043435791615778346,0.04343579161577834,0.06732469063052446,0.941020899905185
D8,429,17728.80575757576,7091.522303030303,451,41.32588754679664,41.93,16.530355018718655,1.0512820512820513,40.34411527866073,0.1,0.03212413288333347,0.03212413288333346,0.0664407778432528,0.9731450327885185
D9,429,10785.330303030303,4314.132121212122,465,25.140630076993713,25.23,10.056252030797488,1.083916083916084,24.24432189023098,0.1,0.019542736751861453,0.019542736751861453,0.06850324101355333,0.99268776954038
D10,429,4035.5054545454545,1614.202181818182,435,9.406772621318076,9.9,3.7627090485272308,1.013986013986014,9.321463233735962,0.1,0.007312230459620188,0.007312230459620188,0.06408367707719505,1.0000000000000002
